YUV,BD-BR_Y,BD-BR_YUV,BD-PSNR_Y,BD-PSNR_YUV,DIF_TIME
BQMall_832x480_60.yuv,72.0706247897,74.7479384556,-2.21992904110668,-2.16657724582918,11.6375549424
BQSquare_416x240_60.yuv,152.012474126,155.865755961,-4.23292335101398,-4.09947039402689,9.76519356867
BQTerrace_1920x1080_60.yuv,126.544118409,148.210622503,-1.58390970178038,-1.57179494323266,11.1587033462
BasketballDrill_832x480_50.yuv,84.7377695561,85.9543430869,-2.42029577776857,-2.30936892669013,11.74672702
BasketballDrive_1920x1024_50.yuv,79.909727994,85.5482850316,-1.1881280011915,-1.23026500936451,13.5263934582
BasketballDrive_1920x1080_50.yuv,79.7951383614,85.3775760226,-1.17006818988342,-1.21183504067751,14.0066043364
BasketballPass_416x240_50.yuv,65.1741588965,69.3666077376,-2.39279903244646,-2.36729046283321,8.8837690249
BlowingBubbles_416x240_50.yuv,67.848479606,68.7166327167,-1.96774737914027,-1.87073261158508,15.3033115773
Cactus_1920x1080_50.yuv,85.7548208192,88.7074247832,-1.32024631551624,-1.23233550514106,12.5145337435
FourPeople_1280x720_60.yuv,69.3475821026,71.4532311881,-1.80540119476418,-1.78167868135579,5.71784986
Johnny_1280x720_60.yuv,99.8443945695,100.441631302,-1.45927782561989,-1.4455603033734,5.13773819243
Kimono_1920x1080_24.yuv,39.5163882346,40.6697737802,-1.05920450969192,-1.00049975016349,13.5612765637
ParkScene_1920x1080_24.yuv,74.952863788,75.5060052981,-1.63396539376404,-1.53003916894045,9.1007245904
PartyScene_832x480_50.yuv,92.58036401,94.2833898108,-2.93219431101419,-2.77161037396114,12.4580224867
PeopleOnStreet_2560x1600_30,60.2809302113,63.5354586072,-2.01375726848625,-1.96684904715365,11.3181914935
RaceHorses_416x240_30.yuv,65.9457570672,69.486290266,-2.27700439001275,-2.19042213286534,13.7970104423
RaceHorses_832x480_30.yuv,63.4342541563,68.3430948901,-1.86539644893975,-1.79805502060882,13.8635293015
SlideEditing_1280x720_30.yuv,56.5795767749,52.609028241,-6.77059473391038,-5.53042455984219,2.86417567388
Tennis_1920x1080_24.yuv,64.2339645816,69.623397322,-1.46710323779764,-1.47619759369898,13.5070781872
Traffic_2560x1600_30,96.7136647932,97.4261507192,-2.13382933573128,-1.91432920522732,8.86044175965
,79.863852642355,83.293631886145,-2.19568877197899,-2.07326679882854,10.9364414784415
