BQMall_832x480_60.yuv,;SI;TI,,
;,11.8612342864,;,0
;,11.8612342864,;,52.3259018078
;,8.48348569298,;,52.0768662652
;,9.73352350409,;,61.5710971154
;,11.9103241147,;,52.8015151298
;,8.42634157816,;,52.1056618805
;,9.73954643894,;,61.5142259969
;,11.8227976644,;,53.0659966457
;,8.35126808386,;,52.0672641878
;,9.70596493028,;,61.4979674461
;,11.7523555098,;,53.2165387826
;,8.27985475767,;,52.2302594288
;,9.67199759054,;,61.725197448
;,11.7260487975,;,53.6935750346
;,8.28533370231,;,52.5071423713
;,9.64302906047,;,61.9193023217
;,11.6911780177,;,54
;,8.27529769969,;,52.5832673005
;,9.635232426,;,62.1691241695
;,11.6622009884,;,54.0925133452
;,8.23519887274,;,52.5737577124
;,9.59983599605,;,62.2816184761
;,11.627376332,;,54.2770669804
;,8.18966778197,;,52.5737577124
;,9.58773655492,;,62.23343153
;,11.5545529509,;,54.2309874518
;,8.1586456863,;,52.5547333739
;,9.56096026473,;,62.4259561401
;,11.5122249912,;,54.1017559789
;,8.12213272796,;,52.6212884677
;,9.50696530935,;,62.6338566592
;,11.4881129809,;,53.8423625039
;,8.14183073237,;,53.0188645672
;,9.51839670949,;,62.7216071223
;,11.5121763851,;,54
;,8.14171565593,;,53.66563146
;,9.57157913691,;,63.324560796
;,11.4862660638,;,54.8634668974
;,8.08385530462,;,54.4701753256
;,9.59084182831,;,64.2495136168
;,11.5354287282,;,55.9464029228
;,8.18461498639,;,55.2810998443
;,9.66831720208,;,64.8690989609
;,11.6206531464,;,56.2138772902
;,8.15866325839,;,55.497747702
;,9.79556386671,;,64.7533782902
;,11.4973007876,;,55.8032257132
;,8.00285537454,;,55.4346462061
;,9.49630432755,;,64
;,11.1710822008,;,54.9636243346
MAX;,11.9103241147,;,64.8690989609
,9.93626332135686,#DIV/0!,55.7149021504843
