BQSquare_416x240_60.yuv ;SI;TI
;19.8884717553;0
;19.8884717553;92.5148636707
;17.1242247616;74.0067564483
;13.2414147558;90.1886910871
;19.9276510283;92.5742944883
;17.1421672278;74.0135122799
;13.2873091186;90.1997782702
;19.9623419175;92.5958962374
;17.1730993082;74.0270220933
;13.3358390188;90.1886910871
;19.9812902065;92.6012958873
;17.1890831955;74.0067564483
;13.3387627699;90.2164064902
;19.9929672186;92.6498785752
;17.1481296436;73.9729680356
;13.3559897797;90.310575239
;19.9946883219;92.714615892
;17.1267982241;73.9391641825
;13.3584309276;90.3548559846
;19.9597308283;92.7254010506
;17.0750117624;73.8918128076
;13.3646645534;90.3935838431
;19.9251983333;92.7200086281
;17.0448594622;73.8241153012
;13.3891858062;90.4212364437
;19.9427937091;92.6876475049
;17.0531064869;73.8037939404
;13.4135315079;90.4157066001
;19.983249459;92.6660671443
;17.0868665733;73.74957627
;13.4671478923;90.4433524368
;20.0169508214;92.6444817569
;17.0950196774;73.7156699759
;13.5061578981;90.4157066001
;20.0103299942;92.5418824101
;17.0333047002;73.6613874428
;13.5095425953;90.3493220783
;20.0054577205;92.4824307639
;17.0510604503;73.6681749469
;13.526005125;90.2330316458
;19.9992343395;92.3471710449
;17.051346503;73.6545993133
;13.5411659379;90.1332347139
;20.0286549948;92.2117129219
;17.0526271518;73.6274405368
;13.5601709552;89.9388681272
;20.0042430067;91.9945650569
;17.0476076554;73.6206492772
;13.5597225446;89.7942091674
;20.0019046057;91.7932459389
MAX;20.0286549948;92.7254010506
;20.0019046057;91.7932459389
