ParkJoy_3840x2160_50.yuv,;SI;TI,,
;,6.05859569726,;,0
;,6.05859569726,;,50.6063237155
;,6.09729086591,;,73.3552997404
;,3.38894553241,;,57.5325994546
;,6.20611699989,;,50.9116882454
;,6.15387338264,;,75.4453444554
;,3.4004426313,;,57.2101389616
;,6.09555215505,;,50.8822169328
;,5.83878751723,;,77.3110600108
;,3.33894571035,;,57.6628129734
;,5.6812419499,;,50.4975246918
;,5.55278398205,;,78.1664889835
;,3.23746056021,;,58.6515131945
;,5.42902779536,;,49.4772675074
;,5.3234506752,;,77.4661216275
;,3.20699292949,;,59.0592922409
;,5.54280446009,;,48.5283422342
;,5.28925695691,;,76.0789064064
;,3.29923814204,;,58.8302643203
;,5.50731336811,;,47.4763098819
;,5.59319456813,;,74.4446102817
;,3.50038524131,;,57.9913786696
;,5.92500284706,;,47.4973683482
;,5.86380279,;,73.9797269527
;,3.56957910855,;,57.0438427878
;,6.24295333557,;,48.2286222071
;,6.18617388032,;,74.4714710476
;,3.69994874622,;,57.0876519048
;,6.37075743944,;,49.0917508345
;,6.30939997303,;,75.2196782764
;,3.63814063055,;,57.7581163128
;,6.43507257223,;,49.1528229098
;,6.36517665849,;,75.6240702422
;,3.63376785289,;,58.8302643203
;,6.71780221111,;,48.8876262463
;,6.62695727993,;,74.9733285909
;,3.79340935818,;,59.1100668245
;,7.02168856805,;,49.0917508345
;,6.87561048724,;,73.6613874428
;,3.88322568303,;,59.4726828048
;,6.97369108969,;,49.193495505
;,6.93531705809,;,72.0971566707
;,3.85124131148,;,59.5650904473
;,7.12937871151,;,49.1528229098
;,7.03023383484,;,70.6116137756
;,3.87732752267,;,59.2790013411
;,7.1233787661,;,48.4252000512
;,6.94757973469,;,68.8694416995
;,3.93639299089,;,58.7026404858
;,7.00591960303,;,47.9791621436
MAX;,7.12937871151,;,78.1664889835
,5.42938442302922,#DIV/0!,59.5845068123667
