PartyScene_832x480_50.yuv,;SI;TI,,
;,13.1060013468,;,0
;,13.1060013468,;,54.6443043693
;,11.3242581902,;,52.7730992078
;,9.88833254121,;,54.1940956194
;,13.1060013468,;,54.6351535186
;,11.3743473964,;,52.7825728816
;,9.88189622614,;,53.9907399468
;,13.0858497941,;,54.7083174664
;,11.2976203467,;,52.7825728816
;,9.86983295602,;,53.777318639
;,13.0960823199,;,54.8999089252
;,11.3340350952,;,52.9811287158
;,9.9370427011,;,53.8330753348
;,13.1450759097,;,55.3624421427
;,11.3328827502,;,53.1319113151
;,9.98201310261,;,54.0370243444
;,13.2219138972,;,55.9464029228
;,11.3896300065,;,53.2728824075
;,10.0152324107,;,54.2678542049
;,13.2351988716,;,56.3116329012
;,11.4015220622,;,53.4228415568
;,10.0077464972,;,54.4150714417
;,13.2030999904,;,56.6038867923
;,11.4251612752,;,53.646994324
;,10.0045737234,;,54.6717477313
;,13.3052069025,;,56.8242905807
;,11.4697755313,;,53.860932038
;,10.0177263359,;,55.1905789062
;,13.2738581532,;,57.0175411606
;,11.4713869443,;,53.8887743412
;,10.0349888994,;,55.1089829338
;,13.2811853993,;,57
;,11.4201046749,;,53.7680202351
;,9.95758355395,;,55.1089829338
;,13.2274178126,;,57.1226750074
;,11.4194812183,;,53.712196008
;,9.91952328632,;,55.3624421427
;,13.2008418179,;,57.5239080731
;,11.3292833181,;,54.1202365109
;,9.90014937007,;,56.1604843284
;,13.2211845946,;,58.0430874437
;,11.3704935943,;,54.3323108288
;,9.87441953548,;,56.3914887195
;,13.2195821736,;,58.1119609031
;,11.2432981205,;,54.1294744109
;,9.85703747792,;,56.1782876208
;,13.0630544533,;,57.9655069848
;,10.9763541997,;,53.9907399468
;,9.80532718423,;,56.0802995712
;,12.862781892,;,57.9137289423
MAX;,13.3052069025,;,58.1119609031
,11.5842863813814,#DIV/0!,54.0021935503118
