PeopleOnStreet_2560x1600_30_crop.yuv,;SI;TI,,
;,10.0867608764,;,0
;,10.0867608764,;,74.2630459919
;,7.47156474925,;,59.0592922409
;,8.00229012061,;,70.256672281
;,10.0701524919,;,74.2226380561
;,7.45652914718,;,59.160797831
;,8.01667537258,;,70.270904363
;,10.1164501735,;,74.2697785105
;,7.46935296695,;,59.0254182535
;,8.04666469643,;,70.3278038901
;,10.1462965596,;,74.3505211818
;,7.40905420984,;,58.8472599192
;,8.04847844783,;,70.4414650614
;,10.0930195077,;,74.4513263817
;,7.42238793279,;,58.7196730236
;,8.05818291185,;,70.52659073
;,10.1060384514,;,74.4513263817
;,7.39486263282,;,58.6770824087
;,8.0325774989,;,70.6682389762
;,10.1318083697,;,74.5251635355
;,7.40542679312,;,58.7792480387
;,8.10902162777,;,70.7036066973
;,10.1188527248,;,74.6592258197
;,7.40089407095,;,58.804761712
;,8.07910028701,;,70.8237248385
;,10.1291503965,;,74.7261667691
;,7.3983540314,;,58.762232769
;,8.03409482203,;,70.8731260775
;,10.0575576534,;,74.8331477355
;,7.41662438026,;,58.7026404858
;,7.99918540626,;,71.1758385971
;,10.0713370753,;,75.2130307859
;,7.456979632,;,58.6856030045
;,7.95935413559,;,71.2671032104
;,10.0841601595,;,75.2861208989
;,7.52274369586,;,58.5234995536
;,7.98246509674,;,71.1828631062
;,10.1012747887,;,75.1731334986
;,7.48330137234,;,58.3180932473
;,7.95330799292,;,70.7530918052
;,10.0316643509,;,74.7395477642
;,7.50583026349,;,58.0689245638
;,7.9171313925,;,70.3349130944
;,10.0358183458,;,74.4781847255
;,7.51498123654,;,57.9482527778
;,7.91760230431,;,70.270904363
;,10.0504141613,;,74.4177398206
;,7.47994422079,;,57.7667724561
;,7.91180317444,;,70.1640933812
;,10.0671247965,;,74.2495791234
MAX;,10.1462965596,;,75.2861208989
,8.60799421455392,#DIV/0!,66.8918880517157
