RaceHorses_832x480_30fps_8bit_420.yuv ;SI;TI
; 10.6442561396 ; 0.0
; 10.6442561396 ; 56.7538544947
; 8.72424478644 ; 51.7687164222
; 8.46839488891 ; 60.5887778388
; 10.3450679825 ; 54.9363267793
; 8.19560607056 ; 50.6063237155
; 8.37831545431 ; 58.2494635168
; 9.96532144573 ; 53.16013544
; 7.95852425456 ; 50.0999001995
; 8.36795197072 ; 58.1463670404
; 9.93381925148 ; 53.777318639
; 8.16335852926 ; 50.5568986391
; 8.29815780238 ; 59.2368128785
; 10.050140446 ; 55.2991862508
; 8.39812214014 ; 51.3809303147
; 8.31178563013 ; 59.7243668866
; 10.1958549476 ; 54.433445601
; 8.75718945716 ; 51.4781507049
; 8.17373324425 ; 59.3801313572
; 10.2673663046 ; 54.3415126768
; 8.8306216252 ; 51.0783711565
; 8.13259912042 ; 59.7494769852
; 10.2405194134 ; 55.0272659688
; 8.88561993904 ; 51.5557950186
; 8.08219846363 ; 60.0749531835
; 10.1883612565 ; 55.1905789062
; 8.86289071245 ; 51.6623654124
; 8.07454037619 ; 60.332412516
; 10.2006038845 ; 55.1905789062
; 8.97252821613 ; 51.9519008314
; 7.94765394711 ; 60.141499815
; 10.1772054562 ; 54.7083174664
MAX; 10.6442561396 ; 60.5887778388
AVG; 9.08865029052 ; 53.4556917363
