Tennis_1920x1080_24.yuv ,SI,TI
,4.34587124598,0
,4.34587124598,59.9416382826
,3.76576635147,74.188947964
,3.47277753487,46.357307946
,4.01999193787,59.8832196863
,3.62748836971,73.7902432575
,3.22741821585,46.2168800332
,4.00635238255,60.1747455333
,3.79773755936,72.7530068107
,3.45179132881,46.8614980554
,4.29404340497,60.497933849
,3.97364829296,73.3280301113
,3.44780610141,47.2757866143
,4.33159873447,61.1310068623
,3.83915484403,73.2666363361
,3.62271799505,47.7074417675
,4.37666911083,61.0737259384
,3.76243237246,73.4506637138
,3.58201973616,46.6690475583
,4.30080647792,60.4814021001
,3.86069263285,72.9040465269
,3.47306297469,45.5411901469
,4.2839554458,59.1269819964
,3.90198417922,72.2495674728
,3.50312881721,45.5411901469
,4.25423700192,59.9249530663
,3.73515725995,72.0208303201
,3.6807526166,46.9041575982
,4.37322107225,60.7124369466
,3.81539042492,72.3878442834
,3.66862697341,47.3603209449
,4.41188476642,60.497933849
,3.99045897801,71.3512438574
,3.64747088212,46.389654019
,4.46919171684,59.4726828048
,4.02944495561,70.8731260775
,3.53344837111,45.7165178026
,4.33239760055,58.5320425066
,3.8589762707,71.056315694
,3.67270831653,46.7760622541
,4.36950934233,59.3464404998
,3.91033357642,70.5832841401
,3.676475799,47.3603209449
,4.40652332554,60.0999168053
,4.02140202463,71.5192281838
,3.60543591431,46.7546789102
,4.46993715857,59.3885510852
,4.05127901165,70.915442606
,3.5737781042,46.3680924775
,4.45836315139,59.2368128785
MAX,4.46993715857,74.188947964
,4.45836315139,59.2368128785
