Traffic_2560x1600_30_crop.yuv,;SI;TI,,
;,7.72448981006,;,0
;,7.72448981006,;,61.8546683768
;,6.76888582198,;,57.9568805234
;,5.27761747219,;,57.7754273026
;,7.72937848316,;,61.6360284249
;,6.75607737375,;,57.9741321625
;,5.28721932027,;,57.5934023999
;,7.72855362633,;,61.4084684714
;,6.76134795807,;,57.9482527778
;,5.28033593456,;,57.5325994546
;,7.73045817373,;,61.3351449008
;,6.77626898854,;,57.9137289423
;,5.27108509631,;,57.5325994546
;,7.73077323084,;,61.302528496
;,6.77993151028,;,57.8446194559
;,5.26904211139,;,57.5152153782
;,7.7279253002,;,61.26173357
;,6.77849712442,;,57.8186821019
;,5.26347385116,;,57.4630315942
;,7.72632397485,;,61.1800621118
;,6.77456098579,;,57.7754273026
;,5.24017356454,;,57.3759531511
;,7.71897933398,;,61.1064644698
;,6.76629899498,;,57.7321400954
;,5.24768535555,;,57.2450871254
;,7.72237837177,;,61.0245852096
;,6.76348573749,;,57.706152185
;,5.25492094494,;,57.1314274283
;,7.7155383592,;,61.0163912404
;,6.76332692741,;,57.6801525657
;,5.23998087408,;,57.0438427878
;,7.71146018067,;,61.0245852096
;,6.75692509988,;,57.6107628833
;,5.23941512366,;,56.9912273951
;,7.71220634973,;,61.0982814816
;,6.75679672318,;,57.5239080731
;,5.22831796661,;,56.9122131005
;,7.703011132,;,61.1473629848
;,6.75901327171,;,57.4456264654
;,5.21912755234,;,56.8330889535
;,7.70544243226,;,61.1637147335
;,6.75790082336,;,57.3585215988
;,5.21428099423,;,56.7978872847
;,7.70462798366,;,61.2372435696
;,6.76470382808,;,57.3149195236
;,5.21145574464,;,56.8154908454
;,7.70868351686,;,61.3106842239
;,6.76575355157,;,57.3585215988
;,5.23340507584,;,56.9649014745
;,7.70963753074,;,61.4898365586
MAX;,7.73077323084,;,61.8546683768
,6.64494985360274,#DIV/0!,57.6850642312902
