Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 11.33   2237.48  2237.48 4022010876     0.00     0.00  horz_scalar_product
  9.88   4188.05  1950.56 2555241600     0.00     0.00  vert_scalar_product
  8.16   5798.07  1610.03 142916476     0.00     0.00  av1_dist_wtd_convolve_2d_c
  4.25   6636.73   838.66 77189741     0.00     0.00  av1_convolve_2d_sr_c
  4.05   7435.97   799.25 245133266     0.00     0.00  av1_optimize_txb_new
  3.96   8217.48   781.50 108208220048     0.00     0.00  half_btf
  3.87   8981.33   763.85 421847261     0.00     0.00  convolve_horiz
  3.54   9679.85   698.52 430819203     0.00     0.00  convolve_vert
  3.29  10329.53   649.68 132148148656     0.00     0.00  clamp_value
  3.22  10965.45   635.92 84848470264     0.00     0.00  half_btf
  3.15  11586.54   621.09 879236133     0.00     0.00  variance
  2.50  12079.97   493.43 13542031588     0.00     0.00  av1_round_shift_array_c
  1.84  12443.67   363.70 6577252476     0.00     0.00  clip_pixel
  1.73  12784.27   340.60 223364735     0.00     0.00  inv_txfm2d_add_c
  1.47  13073.75   289.48 320452605     0.00     0.00  fwd_txfm2d_c
  1.35  13340.61   266.86  6350672     0.00     0.00  av1_warp_affine_c
  1.31  13598.45   257.84 392520016     0.00     0.00  round_shift
  1.23  13841.04   242.59 2477160352     0.00     0.00  clamp_value
  1.21  14079.46   238.42 565050656     0.00     0.00  sad
  1.13  14301.62   222.16 280835112     0.00     0.00  aom_comp_avg_upsampled_pred_c
  1.11  14520.38   218.76 150975208     0.00     0.00  av1_wedge_sse_from_residuals_c
  1.10  14737.99   217.61 276605460     0.00     0.00  quantize_fp_helper_c
  1.08  14951.89   213.90 40876981     0.00     0.00  av1_dist_wtd_convolve_y_c
  1.04  15156.40   204.51 3299129776     0.00     0.00  clamp64
  0.75  15305.17   148.77 223364735     0.00     0.00  av1_inv_txfm_add_c
  0.75  15452.83   147.66 173717794     0.00     0.00  aom_comp_avg_pred_c
  0.72  15595.47   142.64 269169724     0.00     0.00  av1_txb_init_levels_c
  0.72  15737.30   141.83 207718675     0.00     0.00  aom_comp_mask_pred_c
  0.57  15849.48   112.18 23199267     0.00     0.00  av1_dist_wtd_convolve_x_c
  0.55  15957.87   108.39 214344093     0.00     0.00  aom_sse_c
  0.53  16063.02   105.15 594553342     0.00     0.00  clamp
  0.51  16164.34   101.32 1087033795     0.00     0.00  get_nz_map_ctx
