Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 13.37   1480.86  1480.86 4088499444     0.00     0.00  horz_scalar_product
 10.78   2674.48  1193.62 3077947200     0.00     0.00  vert_scalar_product
  4.50   3172.35   497.87 67480800864     0.00     0.00  half_btf
  4.39   3658.40   486.05 253108153     0.00     0.00  convolve_horiz
  3.74   4072.87   414.46 237497493     0.00     0.00  convolve_vert
  3.71   4483.65   410.78 79866958528     0.00     0.00  clamp_value
  3.64   4886.97   403.32 494745306     0.00     0.00  variance
  3.58   5283.51   396.54 37685140     0.00     0.00  av1_dist_wtd_convolve_2d_c
  3.42   5662.07   378.56 48938899680     0.00     0.00  half_btf
  2.46   5935.07   273.01 109677460     0.00     0.00  av1_optimize_txb_new
  2.43   6204.74   269.67 6667939684     0.00     0.00  av1_round_shift_array_c
  2.20   6448.74   244.00 24165125     0.00     0.00  av1_convolve_2d_sr_c
  2.12   6683.32   234.58 43124675     0.00     0.00  av1_dist_wtd_convolve_x_c
  2.05   6909.89   226.57 7166446644     0.00     0.00  clip_pixel
  1.59   7085.67   175.78 202032855     0.00     0.00  aom_comp_avg_upsampled_pred_c
  1.58   7260.33   174.67 103563364     0.00     0.00  inv_txfm2d_add_c
  1.55   7432.26   171.93 362298849     0.00     0.00  sad
  1.49   7597.55   165.29 153915464     0.00     0.00  fwd_txfm2d_c
  1.30   7741.74   144.18 2523007616     0.00     0.00  round_shift
  1.17   7871.47   129.74 2154146752     0.00     0.00  clamp_value
  1.16   8000.26   128.79 78081514     0.00     0.00  av1_wedge_sse_from_residuals_c
  1.12   8124.62   124.36 2557547200     0.00     0.00  clamp64
  1.00   8235.37   110.75 121541915     0.00     0.00  aom_comp_avg_pred_c
  0.98   8343.71   108.34   795149     0.00     0.00  av1_warp_affine_c
  0.96   8449.81   106.10 126178667     0.00     0.00  quantize_fp_helper_c
  0.89   8548.14    98.33 16281758     0.00     0.00  av1_convolve_x_sr_c
  0.70   8626.20    78.06 103563364     0.00     0.00  av1_inv_txfm_add_c
  0.69   8702.76    76.56 51511963     0.00     0.00  av1_dist_wtd_convolve_2d_copy_c
  0.67   8777.47    74.71 127584307     0.00     0.00  aom_sse_c
  0.67   8851.19    73.72 42808663     0.00     0.00  aom_lowbd_blend_a64_d16_mask_c
  0.66   8924.16    72.97 25849756     0.00     0.00  diffwtd_mask
  0.65   8996.08    71.92 117851030     0.00     0.00  av1_txb_init_levels_c
  0.60   9062.27    66.19 92997899     0.00     0.00  aom_comp_mask_pred_c
  0.53   9121.48    59.22 610502076     0.00     0.00  av1_fdct16_new
  0.52   9179.17    57.69 12715566     0.00     0.00  av1_dist_wtd_convolve_y_c
  0.44   9228.35    49.18 2065001336     0.00     0.00  clamp_buf
  0.44   9277.24    48.89 72338604     0.00     0.00  aom_subtract_block_c
  0.42   9323.96    46.72 3144713584     0.00     0.00  clamp
  0.42   9370.23    46.27 50321642     0.00     0.00  masked_sad
  0.42   9416.49    46.27 358377636     0.00     0.00  av1_idct16_new
  0.42   9462.66    46.17 786578416     0.00     0.00  clamp64
  0.41   9508.26    45.60 142984216     0.00     0.00  av1_idct32_new
  0.39   9551.94    43.68 60769520     0.00     0.00  av1_idct64_new
  0.38   9593.81    41.87 185217104     0.00     0.00  av1_fdct32_new
  0.37   9634.89    41.08 21740455     0.00     0.00  aom_quantize_b_helper_c
  0.37   9675.56    40.67 234849608     0.00     0.00  av1_iadst16_new
  0.35   9714.73    39.17 306537436     0.00     0.00  av1_fadst16_new
  0.34   9752.82    38.09 12132411     0.00     0.00  diffwtd_mask_d16
  0.34   9790.15    37.34 1497548080     0.00     0.00  clamp
  0.33   9827.12    36.97 57275745     0.00     0.00  aom_sum_squares_2d_i16_c
  0.33   9863.91    36.79 1232859968     0.00     0.00  clamp
  0.31   9898.38    34.47 67582224     0.00     0.00  av1_fdct64_new
  0.30   9931.98    33.61 5372040672     0.00     0.00  highbd_clip_pixel_add
  0.30   9965.03    33.05 1753238991     0.00     0.00  get_nz_map_ctx
  0.28   9995.75    30.72 27853957     0.00     0.00  obmc_sad
  0.25  10023.77    28.02 527258004     0.00     0.00  av1_fadst8_new
  0.25  10051.72    27.95 717912772     0.00     0.00  av1_fdct8_new
  0.24  10078.81    27.09 2154146752     0.00     0.00  clamp64
  0.23  10104.39    25.58  6114256     0.00     0.00  av1_convolve_y_sr_c
  0.22  10129.11    24.72 30408095406     0.00     0.00  av1_range_check_buf
  0.22  10153.82    24.71 15957584100     0.00     0.00  clip_pixel
  0.22  10178.46    24.64  8831850     0.00     0.00  obmc_variance
  0.22  10203.02    24.57 26656933     0.00     0.00  av1_nn_predict_c
  0.22  10227.35    24.33 3138679968     0.00     0.00  round_shift
  0.20  10249.61    22.27 378852744     0.00     0.00  av1_iadst8_new
  0.19  10271.16    21.55 46718688     0.00     0.00  av1_wedge_sign_from_residuals_c
  0.19  10292.52    21.36 10058518324     0.00     0.00  cospi_arr
  0.19  10313.09    20.57 449724740     0.00     0.00  av1_idct8_new
  0.19  10333.66    20.57        1    20.57    20.57  av1_rtcd
  0.18  10353.87    20.21 5780108480     0.00     0.00  get_dqv
  0.18  10373.46    19.59 6919179838     0.00     0.00  clamp
  0.17  10392.44    18.99 1077073376     0.00     0.00  clip_pixel_highbd
  0.17  10411.29    18.85 17184903     0.00     0.00  aom_blend_a64_mask_c
  0.16  10429.47    18.18 21740455     0.00     0.00  av1_cost_coeffs_txb
  0.13  10443.39    13.92 48989930     0.00     0.00  search_txk_type
  0.12  10457.02    13.63 1077073376     0.00     0.00  clamp
  0.12  10470.33    13.31 14183593     0.00     0.00  aom_var_filter_block2d_bil_first_pass_c
  0.11  10483.02    12.69 32392018     0.00     0.00  av1_get_crc32c_value_c
  0.11  10495.65    12.63 2348626712     0.00     0.00  round_shift
  0.11  10508.09    12.44 14183593     0.00     0.00  aom_var_filter_block2d_bil_second_pass_c
  0.11  10519.97    11.88 7942416334     0.00     0.00  get_padded_idx
  0.10  10531.03    11.06 11300078     0.00     0.00  get_energy_distribution_finer
  0.10  10542.03    11.01 582971200     0.00     0.00  round_shift
  0.09  10552.21    10.18 2520293697     0.00     0.00  get_coeff_dist
  0.08  10560.90     8.69 11300078     0.00     0.00  av1_get_horver_correlation_full_c
  0.08  10569.36     8.47 103563364     0.00     0.00  av1_gen_inv_stage_range
  0.08  10577.70     8.34  9258617     0.00     0.00  av1_compute_cross_correlation_c
  0.07  10585.97     8.27 478833175     0.00     0.00  get_eob_cost
  0.07  10594.08     8.11 11300078     0.00     0.00  sort_probability
  0.07  10602.05     7.97 363953297     0.00     0.00  aom_upsampled_pred_c
  0.07  10609.87     7.82 106123842     0.00     0.00  build_inter_predictors
  0.07  10617.46     7.60 153915464     0.00     0.00  set_fwd_txfm_non_scale_range
  0.07  10625.03     7.57 1384925160     0.00     0.00  round_shift
  0.07  10632.58     7.55 153915464     0.00     0.00  av1_gen_fwd_stage_range
  0.07  10640.05     7.47 2027649184     0.00     0.00  clip_pixel
  0.06  10646.68     6.63 18107478     0.00     0.00  av1_find_best_sub_pixel_tree
  0.06  10653.02     6.34 205665821     0.00     0.00  model_rd_with_curvfit
  0.05  10658.84     5.82 131595316     0.00     0.00  av1_get_txb_entropy_context
  0.05  10664.53     5.69 147918732     0.00     0.00  av1_xform_quant
  0.05  10669.96     5.43 97703604     0.00     0.00  av1_fidentity16_c
  0.05  10675.19     5.23  1938450     0.00     0.00  cdef_filter_block_c
  0.05  10680.18     4.99 194164940     0.00     0.00  av1_fidentity8_c
  0.04  10684.88     4.70 20800526     0.00     0.00  find_tx_size_rd_info
  0.04  10689.14     4.26 363881371     0.00     0.00  upsampled_pref_error
  0.04  10693.36     4.22  1683025     0.00     0.00  smooth_predictor
  0.04  10697.54     4.18 2914588440     0.00     0.00  range_check_value
  0.04  10701.52     3.98 478853877     0.00     0.00  get_eob_pos_token
  0.04  10705.48     3.96 744364800     0.00     0.00  constrain
  0.03  10709.25     3.77 145805320     0.00     0.00  av1_fadst4_new
  0.03  10712.97     3.72  5958294     0.00     0.00  av1_diamond_search_sad_c
  0.03  10716.66     3.70  2919918     0.00     0.00  av1_wedge_compute_delta_squares_c
  0.03  10720.26     3.60 453926436     0.00     0.00  get_coeff_cost_general
  0.03  10723.79     3.53 411326528     0.00     0.00  interp_cubic
  0.03  10727.28     3.49 14183593     0.00     0.00  av1_refining_search_8p_c
  0.03  10730.74     3.46 205663264     0.00     0.00  av1_model_rd_curvfit
  0.03  10734.16     3.42 784649216     0.00     0.00  error_measure
  0.03  10737.56     3.40 1722204720     0.00     0.00  cospi_arr
  0.03  10740.83     3.27 134731420     0.00     0.00  av1_iidentity8_c
  0.03  10744.07     3.24  6799044     0.00     0.00  av1_block_error_c
  0.03  10747.23     3.16 139586128     0.00     0.00  av1_fdct4_new
  0.03  10750.38     3.16 1619498095     0.00     0.00  clamp64
  0.03  10753.53     3.15 12980066     0.00     0.00  aom_get_blk_sse_sum_c
  0.03  10756.65     3.12 52084745     0.00     0.00  get_txb_ctx
  0.03  10759.75     3.10 153915464     0.00     0.00  av1_get_fwd_txfm_cfg
  0.03  10762.82     3.07   410721     0.00     0.03  av1_rd_pick_inter_mode_sb
  0.03  10765.86     3.04 99371178     0.00     0.00  dist_block_px_domain
  0.03  10768.88     3.02 59243780     0.00     0.00  av1_iidentity16_c
  0.03  10771.85     2.98 31705864     0.00     0.00  av1_fidentity32_c
  0.03  10774.82     2.97 107094632     0.00     0.00  av1_iadst4_new
  0.03  10777.79     2.97 1217582466     0.00     0.00  get_msb
  0.03  10780.62     2.83 118533790     0.00     0.00  model_rd_for_sb_with_curvfit
  0.03  10783.40     2.78 103563364     0.00     0.00  av1_get_inv_txfm_cfg
  0.02  10786.16     2.76 13392471     0.00     0.00  av1_get_nz_map_contexts_c
  0.02  10788.90     2.74   810125     0.00     0.00  av1_calc_frame_error_c
  0.02  10791.63     2.73 202529907     0.00     0.00  clamp_mv_to_umv_border_sb
  0.02  10794.34     2.71  5839836     0.00     0.00  aom_sum_squares_i16_c
  0.02  10797.04     2.70 103563364     0.00     0.00  get_txh_idx
  0.02  10799.70     2.66 153915464     0.00     0.00  av1_highbd_fwd_txfm
  0.02  10802.35     2.65 16862745     0.00     0.00  handle_inter_mode
  0.02  10804.97     2.62  6995564     0.00     0.00  build_smooth_interintra_mask
  0.02  10807.55     2.58 312275172     0.00     0.00  is_comp_rd_match
  0.02  10810.11     2.56 103563364     0.00     0.00  av1_highbd_inv_txfm_add_c
  0.02  10812.66     2.55                             intra_mode_to_tx_type
  0.02  10815.18     2.53 11300078     0.00     0.00  prune_tx_2D
  0.02  10817.65     2.47      174     0.01     0.01  aom_nonmax_suppression
  0.02  10820.08     2.43 216405136     0.00     0.00  av1_convolve_2d_facade
  0.02  10822.43     2.35 566832617     0.00     0.00  mv_cost
  0.02  10824.76     2.33  2234569     0.00     0.00  av1_filter_intra_predictor_c
  0.02  10827.09     2.33 11359150     0.00     0.00  av1_nn_softmax
  0.02  10829.38     2.30 1507888070     0.00     0.00  range_check_value
  0.02  10831.66     2.28 462071866     0.00     0.00  get_lower_levels_ctx_eob
  0.02  10833.93     2.27 124177831     0.00     0.00  av1_convolve_2d_copy_sr_c
  0.02  10836.18     2.25 307830928     0.00     0.00  fwd_txfm_type_to_func
  0.02  10838.39     2.21 485386853     0.00     0.00  get_coeff_cost_eob
  0.02  10840.56     2.17 96646256     0.00     0.00  av1_idct4_new
  0.02  10842.71     2.15 126178277     0.00     0.00  av1_optimize_b
  0.02  10844.85     2.14   177313     0.00     0.00  cfl_store_block
  0.02  10846.89     2.05 111792923     0.00     0.00  av1_get_tx_type
  0.02  10848.93     2.04 50364264     0.00     0.00  interpolation_filter_rd
  0.02  10850.94     2.01 608168448     0.00     0.00  sign
  0.02  10852.90     1.96 284231230     0.00     0.00  get_txb_dimensions
  0.02  10854.80     1.90 202529907     0.00     0.00  calc_subpel_params
  0.02  10856.68     1.88 123049229     0.00     0.00  get_tx_type_cost
  0.02  10858.55     1.87                             intra_mode_to_tx_type
  0.02  10860.37     1.82 40501203     0.00     0.00  block_rd_txfm
  0.02  10862.15     1.78  9659846     0.00     0.00  compound_type_rd
  0.02  10863.87     1.72 12733966     0.00     0.00  motion_mode_rd
  0.02  10865.58     1.71 207126728     0.00     0.00  inv_txfm_type_to_func
  0.01  10867.23     1.65 148208475     0.00     0.00  av1_get_ext_tx_set_type
  0.01  10868.86     1.63 17782040     0.00     0.00  masked_compound_type_rd
  0.01  10870.49     1.63 130011235     0.00     0.00  get_conv_params_no_round
  0.01  10872.10     1.61 264394846     0.00     0.00  av1_get_tx_scale
  0.01  10873.69     1.59 61032060     0.00     0.00  get_lower_levels_ctx_general
  0.01  10875.27     1.59 216405136     0.00     0.00  av1_make_inter_predictor
  0.01  10876.85     1.58 394336994     0.00     0.00  mv_err_cost
  0.01  10878.41     1.56 770272256     0.00     0.00  clip_pixel
  0.01  10879.95     1.54 14727119     0.00     0.00  select_tx_block
  0.01  10881.48     1.53 110158979     0.00     0.00  build_inter_predictors_for_plane
  0.01  10882.99     1.51 237497493     0.00     0.00  aom_convolve8_vert_c
  0.01  10884.49     1.51  6323102     0.00     0.00  find_tx_size_rd_records
  0.01  10885.96     1.47 490605646     0.00     0.00  av1_get_interp_filter_subpel_kernel
  0.01  10887.43     1.47 216405136     0.00     0.00  inter_predictor
  0.01  10888.89     1.46 253108153     0.00     0.00  aom_convolve8_horiz_c
  0.01  10890.34     1.45 17218815     0.00     0.00  build_intra_predictors
  0.01  10891.77     1.43 173483447     0.00     0.00  av1_get_ext_tx_set_type
