Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 10.73   2671.86  2671.86 2779957844     0.00     0.00  horz_scalar_product
  9.09   4934.85  2262.99 3116954848     0.00     0.00  vert_scalar_product
  7.46   6793.56  1858.71 186013778     0.00     0.00  av1_dist_wtd_convolve_2d_c
  4.70   7965.29  1171.73 418784215     0.00     0.00  av1_optimize_txb_new
  4.32   9041.94  1076.65 159632780448     0.00     0.00  half_btf
  3.89  10011.66   969.72 137321159224     0.00     0.00  half_btf
  3.85  10970.50   958.85 103272553     0.00     0.00  av1_convolve_2d_sr_c
  3.73  11900.27   929.76 204029442304     0.00     0.00  clamp_value
  3.72  12826.15   925.88 557907348     0.00     0.00  convolve_horiz
  3.26  13638.55   812.40 559395618     0.00     0.00  convolve_vert
  3.12  14415.37   776.83 1215784277     0.00     0.00  variance
  2.80  15111.89   696.52 8082144424     0.00     0.00  av1_round_shift_array_c
  2.07  15627.71   515.81 373963881     0.00     0.00  inv_txfm2d_add_c
  1.78  16072.20   444.49 5896912692     0.00     0.00  clip_pixel
  1.61  16472.98   400.78 494572133     0.00     0.00  fwd_txfm2d_c
  1.48  16842.86   369.88 2100113744     0.00     0.00  round_shift
  1.42  17196.12   353.26 2687918240     0.00     0.00  clamp_value
  1.41  17546.58   350.46 446599753     0.00     0.00  quantize_fp_helper_c
  1.23  17852.22   305.64 2165979392     0.00     0.00  clamp64
  1.09  18123.40   271.18 739879662     0.00     0.00  sad
  1.01  18374.21   250.81 198816124     0.00     0.00  av1_wedge_sse_from_residuals_c
  1.00  18623.44   249.23 324540045     0.00     0.00  aom_comp_avg_upsampled_pred_c
  0.91  18850.00   226.56 373963881     0.00     0.00  av1_inv_txfm_add_c
  0.89  19071.48   221.48 443129639     0.00     0.00  av1_txb_init_levels_c
  0.78  19266.55   195.07 295229626     0.00     0.00  aom_comp_mask_pred_c
  0.67  19433.90   167.35 35520433     0.00     0.00  av1_dist_wtd_convolve_x_c
  0.66  19599.18   165.29 34101775     0.00     0.00  av1_dist_wtd_convolve_y_c
  0.66  19763.89   164.71 204122006     0.00     0.00  aom_comp_avg_pred_c
  0.65  19924.87   160.98 928813512     0.00     0.00  av1_iadst16_new
  0.57  20066.39   141.52 7227839280     0.00     0.00  clamp_buf
  0.53  20198.88   132.49 160460064     0.00     0.00  masked_sad
  0.53  20329.99   131.11 1011945452     0.00     0.00  av1_fadst16_new
  0.50  20455.21   125.22 1014282684     0.00     0.00  av1_idct16_new
  0.49  20576.92   121.71 2417163076     0.00     0.00  av1_fadst8_new
  0.47  20694.77   117.85 260558645     0.00     0.00  aom_sse_c
  0.46  20808.93   114.16   877276     0.00     0.00  av1_warp_affine_c
  0.43  20916.75   107.83 944496320     0.00     0.00  clamp64
  0.43  21022.93   106.18 2553910672     0.00     0.00  clamp
  0.42  21128.54   105.61 1148251136     0.00     0.00  av1_fdct16_new
  0.40  21229.22   100.68 1761645692     0.00     0.00  av1_iadst8_new
  0.40  21329.48   100.26 13442658227     0.00     0.00  get_dqv
  0.38  21424.41    94.93 932474695     0.00     0.00  get_nz_map_ctx
  0.38  21519.20    94.80 3491442768     0.00     0.00  highbd_clip_pixel_add
  0.37  21611.52    92.32 40558345     0.00     0.00  diffwtd_mask
  0.32  21690.20    78.68 39537320     0.00     0.00  aom_quantize_b_helper_c
  0.31  21768.66    78.46 88761292     0.00     0.00  av1_nn_predict_c
  0.31  21844.89    76.23 49094333     0.00     0.00  aom_lowbd_blend_a64_d16_mask_c
  0.30  21920.61    75.73 2073705864     0.00     0.00  av1_fdct8_new
  0.30  21995.91    75.30 2687918240     0.00     0.00  clamp64
  0.30  22070.74    74.83 18486231     0.00     0.00  av1_convolve_x_sr_c
  0.29  22143.99    73.26 252772536     0.00     0.00  av1_idct32_new
  0.29  22216.34    72.35 1811058752     0.00     0.00  clamp
  0.28  22285.02    68.68 91747984922     0.00     0.00  av1_range_check_buf
  0.27  22353.02    68.00 17268516     0.00     0.00  av1_convolve_y_sr_c
  0.27  22420.74    67.72 1580796888     0.00     0.00  av1_idct8_new
  0.26  22485.65    64.91 150003632     0.00     0.00  av1_wedge_sign_from_residuals_c
  0.26  22550.04    64.39 128355274     0.00     0.00  aom_subtract_block_c
  0.24  22608.98    58.94 14574790116     0.00     0.00  clip_pixel
  0.22  22664.72    55.74 124654310     0.00     0.00  aom_sum_squares_2d_i16_c
  0.22  22720.13    55.41 251591744     0.00     0.00  av1_fdct32_new
  0.22  22773.99    53.86 16615640800     0.00     0.00  get_padded_idx
  0.21  22826.34    52.35 3491442768     0.00     0.00  clip_pixel_highbd
  0.21  22877.71    51.37 74727072     0.00     0.00  av1_idct64_new
  0.20  22928.40    50.69 4276352464     0.00     0.00  clamp
  0.20  22978.92    50.52 39537320     0.00     0.00  av1_cost_coeffs_txb
  0.20  23027.96    49.04 26013232096     0.00     0.00  cospi_arr
  0.19  23076.28    48.32 3165918400     0.00     0.00  round_shift
  0.17  23119.45    43.17 64033266     0.00     0.00  obmc_sad
  0.16  23160.52    41.07        1    41.07    41.07  av1_rtcd
  0.16  23200.77    40.25 20756955     0.00     0.00  obmc_variance
  0.16  23240.87    40.10 2339220802     0.00     0.00  get_eob_cost
  0.15  23278.08    37.22 73983552     0.00     0.00  av1_fdct64_new
  0.15  23315.20    37.12 105241068     0.00     0.00  search_txk_type
  0.15  23351.89    36.70 23295528     0.00     0.00  av1_dist_wtd_convolve_2d_copy_c
  0.14  23386.56    34.67 37031624     0.00     0.00  get_energy_distribution_finer
  0.14  23421.02    34.46 9808335710     0.00     0.00  get_coeff_dist
  0.13  23454.53    33.51 1413246240     0.00     0.00  round_shift
  0.13  23486.81    32.29 3016867512     0.00     0.00  round_shift
  0.12  23515.95    29.14 3491442768     0.00     0.00  clamp
  0.12  23544.80    28.85 458740948     0.00     0.00  av1_get_txb_entropy_context
  0.11  23572.34    27.55 373963881     0.00     0.00  av1_gen_inv_stage_range
  0.11  23598.73    26.39 30250914     0.00     0.00  aom_blend_a64_mask_c
  0.11  23624.97    26.24 5494767368     0.00     0.00  round_shift
  0.10  23650.85    25.89 37031624     0.00     0.00  av1_get_horver_correlation_full_c
  0.10  23675.93    25.08 37031624     0.00     0.00  sort_probability
  0.10  23699.85    23.92 26724903     0.00     0.00  av1_compute_cross_correlation_c
  0.09  23723.33    23.48 494572133     0.00     0.00  av1_gen_fwd_stage_range
  0.09  23746.21    22.88 28918861     0.00     0.00  aom_var_filter_block2d_bil_first_pass_c
  0.09  23768.17    21.96 939194396     0.00     0.00  av1_fidentity8_c
  0.08  23788.96    20.79 28918861     0.00     0.00  aom_var_filter_block2d_bil_second_pass_c
  0.08  23809.45    20.50 3165850930     0.00     0.00  clamp
  0.08  23829.81    20.36 494572133     0.00     0.00  set_fwd_txfm_non_scale_range
  0.08  23849.72    19.92 2339267154     0.00     0.00  get_eob_pos_token
  0.08  23869.47    19.75 61263314     0.00     0.00  av1_get_crc32c_value_c
  0.07  23887.56    18.09 486136683     0.00     0.00  av1_xform_quant
  0.07  23905.11    17.55 41466282     0.00     0.00  find_tx_size_rd_info
  0.07  23922.65    17.54  5248642     0.00     0.00  diffwtd_mask_d16
  0.07  23940.04    17.39 317978132     0.00     0.00  av1_fidentity16_c
  0.07  23956.26    16.22 2170936900     0.00     0.00  get_coeff_cost_general
  0.06  23972.19    15.93 782259734     0.00     0.00  aom_upsampled_pred_c
  0.06  23986.80    14.61 221681078     0.00     0.00  build_inter_predictors
  0.06  24000.57    13.77 261524304     0.00     0.00  av1_iidentity16_c
  0.05  24014.24    13.67  5020203     0.00     0.00  cdef_filter_block_c
  0.05  24027.85    13.61 459374769     0.00     0.00  model_rd_with_curvfit
  0.05  24041.31    13.46 38810014     0.00     0.00  av1_find_best_sub_pixel_tree
  0.05  24054.76    13.45 630075872     0.00     0.00  av1_iidentity8_c
  0.05  24066.63    11.87 1636619100     0.00     0.00  clamp64
  0.04  24077.57    10.95 5866587376     0.00     0.00  cospi_arr
  0.04  24088.50    10.93 2356533650     0.00     0.00  get_coeff_cost_eob
  0.04  24099.36    10.87 2296606806     0.00     0.00  get_lower_levels_ctx_eob
  0.04  24109.38    10.02 1927757952     0.00     0.00  constrain
  0.04  24119.16     9.78 365388944     0.00     0.00  dist_block_px_domain
  0.04  24128.82     9.66  9375227     0.00     0.00  av1_wedge_compute_delta_squares_c
