Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.48   2633.34  2633.34 648843740     0.00     0.00  horz_scalar_product
 10.57   4864.59  2231.25 325135072     0.00     0.00  vert_scalar_product
  7.32   6409.94  1545.35 123338330     0.00     0.00  av1_dist_wtd_convolve_2d_c
  4.30   7317.41   907.47 499728473     0.00     0.00  convolve_horiz
  4.26   8217.16   899.75 85715209     0.00     0.00  av1_convolve_2d_sr_c
  3.76   9011.70   794.54 112199673312     0.00     0.00  half_btf
  3.76   9805.65   793.95 499408089     0.00     0.00  convolve_vert
  3.67  10581.14   775.49 164188680016     0.00     0.00  clamp_value
  3.58  11336.05   754.91 104930549688     0.00     0.00  half_btf
  3.50  12075.81   739.76 1000878960     0.00     0.00  variance
  3.09  12727.10   651.29 241423813     0.00     0.00  av1_optimize_txb_new
  2.32  13216.01   488.91 12987362436     0.00     0.00  av1_round_shift_array_c
  2.07  13652.14   436.14 973978812     0.00     0.00  clip_pixel
  1.91  14055.40   403.26 887427806     0.00     0.00  sad
  1.75  14424.35   368.95 243343434     0.00     0.00  inv_txfm2d_add_c
  1.29  14696.50   272.15 400834512     0.00     0.00  round_shift
  1.27  14964.39   267.90 188125152     0.00     0.00  clamp_value
  1.24  15225.70   261.31 293429782     0.00     0.00  fwd_txfm2d_c
  1.19  15477.14   251.43 282470672     0.00     0.00  aom_comp_avg_upsampled_pred_c
  1.15  15720.74   243.60 171821828     0.00     0.00  av1_wedge_sse_from_residuals_c
  1.14  15960.92   240.19 979922768     0.00     0.00  clamp64
  1.13  16199.49   238.57 258042853     0.00     0.00  quantize_fp_helper_c
  0.88  16385.77   186.28 265660983     0.00     0.00  aom_comp_mask_pred_c
  0.81  16556.69   170.92 243343434     0.00     0.00  av1_inv_txfm_add_c
  0.81  16726.67   169.98 183374813     0.00     0.00  aom_comp_avg_pred_c
  0.69  16872.69   146.02 260329876     0.00     0.00  av1_txb_init_levels_c
  0.64  17007.43   134.74 22074360     0.00     0.00  av1_dist_wtd_convolve_x_c
  0.62  17139.00   131.57 151862764     0.00     0.00  masked_sad
  0.61  17267.36   128.36 21787267     0.00     0.00  av1_dist_wtd_convolve_y_c
  0.51  17375.56   108.20 640155972     0.00     0.00  av1_iadst16_new
  0.48  17477.66   102.11 181065840     0.00     0.00  aom_sse_c
  0.48  17578.90   101.24 4741730408     0.00     0.00  clamp_buf
  0.48  17679.48   100.58 798909556     0.00     0.00  av1_idct16_new
  0.43  17770.69    91.21   687163     0.00     0.00  av1_warp_affine_c
  0.42  17858.93    88.24 677153100     0.00     0.00  av1_fadst16_new
  0.38  17939.65    80.72 860687864     0.00     0.00  av1_fdct16_new
  0.38  18019.77    80.12 29392086     0.00     0.00  diffwtd_mask
  0.38  18099.11    79.35 43578419     0.00     0.00  aom_lowbd_blend_a64_d16_mask_c
  0.34  18170.93    71.82 259209712     0.00     0.00  clamp64
  0.33  18241.60    70.67 1751319552     0.00     0.00  clamp
  0.33  18312.18    70.58 3545674960     0.00     0.00  clamp
  0.33  18382.26    70.08 30929192     0.00     0.00  aom_quantize_b_helper_c
  0.33  18452.18    69.92 230190136     0.00     0.00  av1_idct32_new
  0.33  18522.06    69.88 99703760     0.00     0.00  av1_idct64_new
  0.32  18590.32    68.27 4389029872     0.00     0.00  highbd_clip_pixel_add
  0.31  18656.67    66.35 13463340     0.00     0.00  av1_convolve_x_sr_c
  0.31  18722.65    65.98 3492949004     0.00     0.00  get_nz_map_ctx
  0.30  18786.04    63.39 13640659     0.00     0.00  av1_convolve_y_sr_c
  0.30  18849.07    63.03 1170854388     0.00     0.00  av1_fadst8_new
  0.29  18910.95    61.88 136708432     0.00     0.00  av1_wedge_sign_from_residuals_c
  0.27  18968.60    57.65 967378764     0.00     0.00  av1_iadst8_new
  0.27  19026.10    57.50 97946203     0.00     0.00  aom_subtract_block_c
  0.27  19082.50    56.40 188125152     0.00     0.00  clamp64
  0.24  19133.68    51.18 57101246     0.00     0.00  av1_nn_predict_c
  0.24  19184.67    51.00 96676432     0.00     0.00  av1_fdct64_new
  0.24  19234.98    50.31 217817040     0.00     0.00  av1_fdct32_new
  0.24  19285.21    50.23 12881432140     0.00     0.00  clip_pixel
  0.23  19334.54    49.34 1289077144     0.00     0.00  av1_fdct8_new
  0.23  19383.62    49.08 1089314968     0.00     0.00  av1_idct8_new
  0.23  19432.06    48.44 5160912965     0.00     0.00  get_dqv
  0.23  19480.14    48.08 90694773     0.00     0.00  aom_sum_squares_2d_i16_c
  0.22  19526.90    46.76 59740261202     0.00     0.00  av1_range_check_buf
  0.20  19570.09    43.19 30929192     0.00     0.00  av1_cost_coeffs_txb
  0.20  19611.52    41.43 1462451632     0.00     0.00  clamp
  0.19  19652.12    40.60        1    40.60    40.60  av1_rtcd
  0.19  19691.21    39.09 94062576     0.00     0.00  clip_pixel_highbd
  0.18  19729.14    37.93 44908609     0.00     0.00  obmc_sad
  0.17  19764.47    35.33 17055082628     0.00     0.00  cospi_arr
  0.15  19796.89    32.42 14553773     0.00     0.00  obmc_variance
  0.14  19827.48    30.59 14399763     0.00     0.00  av1_dist_wtd_convolve_2d_copy_c
  0.13  19855.82    28.34 9766331493     0.00     0.00  get_padded_idx
  0.12  19881.85    26.04 6976892457     0.00     0.00  get_coeff_dist
  0.12  19907.80    25.95 79192626     0.00     0.00  search_txk_type
  0.12  19933.61    25.81 4156683872     0.00     0.00  round_shift
  0.11  19957.36    23.75 23659377     0.00     0.00  get_energy_distribution_finer
  0.11  19980.91    23.55 94062576     0.00     0.00  clamp
  0.10  20002.41    21.50  3936005     0.00     0.00  diffwtd_mask_d16
  0.10  20023.77    21.36 22567279     0.00     0.00  aom_blend_a64_mask_c
  0.10  20045.10    21.33 25299366     0.00     0.00  aom_var_filter_block2d_bil_first_pass_c
  0.10  20066.43    21.33 1207811741     0.00     0.00  get_eob_cost
  0.10  20087.75    21.32 3807114472     0.00     0.00  round_shift
  0.10  20108.30    20.55 25299366     0.00     0.00  aom_var_filter_block2d_bil_second_pass_c
  0.09  20128.08    19.78 23659377     0.00     0.00  av1_get_horver_correlation_full_c
  0.09  20147.15    19.07 243343434     0.00     0.00  av1_gen_inv_stage_range
  0.09  20165.80    18.65 3323021440     0.00     0.00  round_shift
  0.09  20184.23    18.43 6176986376     0.00     0.00  clamp
  0.08  20200.75    16.53 2650363016     0.00     0.00  round_shift
  0.08  20216.98    16.23 23659377     0.00     0.00  sort_probability
  0.07  20232.28    15.30 39953517     0.00     0.00  av1_get_crc32c_value_c
  0.07  20247.10    14.82 696654838     0.00     0.00  aom_upsampled_pred_c
  0.07  20261.72    14.62 16157325     0.00     0.00  av1_compute_cross_correlation_c
  0.07  20275.83    14.11 293429782     0.00     0.00  av1_gen_fwd_stage_range
  0.07  20289.69    13.86  5315049     0.00     0.00  cdef_filter_block_c
  0.06  20302.80    13.12 293429782     0.00     0.00  set_fwd_txfm_non_scale_range
  0.06  20315.55    12.75 33912580     0.00     0.00  av1_find_best_sub_pixel_tree
  0.06  20327.82    12.27 28492974     0.00     0.00  find_tx_size_rd_info
  0.06  20339.61    11.80 272791604     0.00     0.00  av1_get_txb_entropy_context
  0.06  20351.22    11.61 22170803     0.00     0.00  av1_block_error_c
  0.05  20362.76    11.54 288971655     0.00     0.00  av1_xform_quant
  0.05  20374.05    11.29 352887668     0.00     0.00  model_rd_with_curvfit
  0.05  20385.07    11.02 1191255551     0.00     0.00  get_coeff_cost_general
