Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 10.47   2069.97  2069.97 2073482716     0.00     0.00  horz_scalar_product
  9.10   3868.59  1798.62 309058864     0.00     0.00  vert_scalar_product
  8.19   5487.24  1618.65 153390988     0.00     0.00  av1_dist_wtd_convolve_2d_c
  4.41   6358.97   871.73 300193931     0.00     0.00  av1_optimize_txb_new
  4.17   7183.23   824.26 127069115024     0.00     0.00  half_btf
  3.95   7964.04   780.81 76815277     0.00     0.00  av1_convolve_2d_sr_c
  3.62   8679.75   715.71 428594022     0.00     0.00  convolve_horiz
  3.55   9381.04   701.29 156587936944     0.00     0.00  clamp_value
  3.54  10080.56   699.52 101902225128     0.00     0.00  half_btf
  3.32  10736.03   655.48 436565858     0.00     0.00  convolve_vert
  3.05  11339.26   603.23 928158124     0.00     0.00  variance
  2.64  11861.70   522.44 16021093656     0.00     0.00  av1_round_shift_array_c
  1.86  12230.17   368.47 261122865     0.00     0.00  inv_txfm2d_add_c
  1.73  12573.02   342.85 2382541580     0.00     0.00  clip_pixel
  1.57  12884.27   311.26 376262943     0.00     0.00  fwd_txfm2d_c
  1.40  13161.34   277.07 3967906224     0.00     0.00  round_shift
  1.34  13426.48   265.14 4112936800     0.00     0.00  clamp_value
  1.20  13663.99   237.51  5992992     0.00     0.00  av1_warp_affine_c
  1.17  13895.98   231.99 330885598     0.00     0.00  quantize_fp_helper_c
  1.15  14122.64   226.67 1969114288     0.00     0.00  clamp64
  1.14  14348.87   226.23 576605189     0.00     0.00  sad
  1.13  14571.39   222.52 45974303     0.00     0.00  av1_dist_wtd_convolve_y_c
  1.07  14783.79   212.40 288044085     0.00     0.00  aom_comp_avg_upsampled_pred_c
  1.07  14995.00   211.21 153498396     0.00     0.00  av1_wedge_sse_from_residuals_c
  0.84  15160.92   165.92 324626872     0.00     0.00  av1_txb_init_levels_c
  0.82  15323.40   162.48 261122865     0.00     0.00  av1_inv_txfm_add_c
  0.70  15461.02   137.62 176532611     0.00     0.00  aom_comp_avg_pred_c
  0.66  15591.48   130.46 207589999     0.00     0.00  aom_comp_mask_pred_c
  0.65  15719.47   127.99 28091153     0.00     0.00  av1_dist_wtd_convolve_x_c
  0.56  15829.94   110.47 228550786     0.00     0.00  aom_sse_c
  0.52  15933.24   103.31 5255237720     0.00     0.00  clamp_buf
  0.49  16030.35    97.11 603926880     0.00     0.00  av1_iadst16_new
  0.48  16126.10    95.75 3665468409     0.00     0.00  clamp
  0.47  16218.60    92.50 1190499923     0.00     0.00  get_nz_map_ctx
  0.46  16309.36    90.76 40213315     0.00     0.00  diffwtd_mask
  0.46  16399.96    90.60 21634724     0.00     0.00  av1_convolve_y_sr_c
  0.46  16490.33    90.37 738822124     0.00     0.00  av1_idct16_new
  0.44  16576.67    86.34 954152476     0.00     0.00  av1_fdct16_new
