Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.49   1379.17  1379.17 280930572     0.00     0.00  horz_scalar_product
 10.37   2524.92  1145.76 2506113936     0.00     0.00  vert_scalar_product
  4.70   3043.52   518.60 77531004112     0.00     0.00  half_btf
  4.28   3516.23   472.71 270458303     0.00     0.00  convolve_horiz
  4.09   3968.46   452.22 97915605280     0.00     0.00  clamp_value
  3.77   4384.74   416.28 59855713736     0.00     0.00  half_btf
  3.75   4798.61   413.87 258371454     0.00     0.00  convolve_vert
  3.54   5189.41   390.81 537013059     0.00     0.00  variance
  3.36   5560.40   370.99 36996789     0.00     0.00  av1_dist_wtd_convolve_2d_c
  2.58   5845.09   284.69 7760327900     0.00     0.00  av1_round_shift_array_c
  2.48   6119.41   274.32 128579143     0.00     0.00  av1_optimize_txb_new
  2.14   6355.52   236.11 47297597     0.00     0.00  av1_dist_wtd_convolve_x_c
  2.04   6580.78   225.27 23091792     0.00     0.00  av1_convolve_2d_sr_c
  1.98   6800.00   219.22 2787044508     0.00     0.00  clip_pixel
  1.74   6991.75   191.75 115903093     0.00     0.00  inv_txfm2d_add_c
  1.58   7166.19   174.44 176098024     0.00     0.00  fwd_txfm2d_c
  1.50   7331.34   165.15 218529163     0.00     0.00  aom_comp_avg_upsampled_pred_c
  1.48   7494.45   163.11 380692253     0.00     0.00  sad
  1.45   7654.48   160.02 3055828416     0.00     0.00  round_shift
  1.30   7798.25   143.78 3819418240     0.00     0.00  clamp_value
  1.27   7938.02   139.77 3426324768     0.00     0.00  clamp64
  1.12   8061.73   123.71 84470030     0.00     0.00  av1_wedge_sse_from_residuals_c
  0.96   8167.78   106.05 133106586     0.00     0.00  aom_comp_avg_pred_c
  0.96   8273.49   105.71 145795319     0.00     0.00  quantize_fp_helper_c
  0.95   8378.45   104.96   847779     0.00     0.00  av1_warp_affine_c
  0.87   8474.78    96.33 17967846     0.00     0.00  av1_convolve_x_sr_c
  0.83   8566.06    91.28 138549883     0.00     0.00  av1_txb_init_levels_c
  0.78   8652.53    86.47 115903093     0.00     0.00  av1_inv_txfm_add_c
