Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 10.73   2578.14  2578.14 1918045504     0.00     0.00  horz_scalar_product
  8.97   4732.77  2154.63 2914622256     0.00     0.00  vert_scalar_product
  7.45   6523.01  1790.25 186727167     0.00     0.00  av1_dist_wtd_convolve_2d_c
  4.62   7633.70  1110.69 168321745728     0.00     0.00  half_btf
  4.50   8714.33  1080.62 420636728     0.00     0.00  av1_optimize_txb_new
  4.15   9711.63   997.30 142059038712     0.00     0.00  half_btf
  3.79  10622.69   911.07 211906438848     0.00     0.00  clamp_value
  3.74  11520.84   898.14 100188669     0.00     0.00  av1_convolve_2d_sr_c
  3.64  12396.38   875.54 540279808     0.00     0.00  convolve_horiz
  3.18  13160.55   764.18 540668311     0.00     0.00  convolve_vert
  3.04  13891.22   730.67 1181847156     0.00     0.00  variance
  2.95  14600.81   709.59 8377522984     0.00     0.00  av1_round_shift_array_c
  2.11  15107.07   506.26 366189637     0.00     0.00  inv_txfm2d_add_c
  1.67  15508.23   401.16 4832667760     0.00     0.00  clip_pixel
  1.62  15898.59   390.36 497133640     0.00     0.00  fwd_txfm2d_c
  1.49  16257.71   359.12 2308776320     0.00     0.00  round_shift
  1.47  16611.81   354.11 250543808     0.00     0.00  clamp_value
  1.34  16934.31   322.50 450014780     0.00     0.00  quantize_fp_helper_c
  1.24  17232.52   298.21 1453041344     0.00     0.00  clamp64
  1.05  17486.04   253.52 714517137     0.00     0.00  sad
  1.03  17732.76   246.72 193777504     0.00     0.00  av1_wedge_sse_from_residuals_c
  0.99  17969.79   237.03 318873899     0.00     0.00  aom_comp_avg_upsampled_pred_c
  0.91  18188.28   218.49 442679542     0.00     0.00  av1_txb_init_levels_c
  0.90  18404.98   216.70 366189637     0.00     0.00  av1_inv_txfm_add_c
  0.77  18590.12   185.14 7216903220     0.00     0.00  clamp_buf
  0.74  18767.57   177.45 286421556     0.00     0.00  aom_comp_mask_pred_c
  0.70  18936.17   168.61 36015868     0.00     0.00  av1_dist_wtd_convolve_y_c
  0.67  19097.13   160.95 998215316     0.00     0.00  av1_iadst16_new
  0.65  19253.27   156.14 199419295     0.00     0.00  aom_comp_avg_pred_c
  0.61  19399.47   146.20 31462497     0.00     0.00  av1_dist_wtd_convolve_x_c
  0.57  19536.37   136.90 1113343832     0.00     0.00  av1_fadst16_new
  0.51  19659.83   123.46 1054392888     0.00     0.00  av1_idct16_new
  0.50  19778.97   119.14 152664714     0.00     0.00  masked_sad
  0.49  19895.82   116.85 2463019904     0.00     0.00  av1_fadst8_new
  0.47  20008.73   112.92 2772927584     0.00     0.00  clamp64
  0.47  20121.26   112.53 255169722     0.00     0.00  aom_sse_c
  0.46  20231.40   110.14 4240813664     0.00     0.00  clamp
  0.45  20339.97   108.57   885116     0.00     0.00  av1_warp_affine_c
  0.45  20447.65   107.68 1217428452     0.00     0.00  av1_fdct16_new
  0.41  20545.17    97.52 1724457444     0.00     0.00  av1_iadst8_new
  0.39  20638.35    93.18 4420239200     0.00     0.00  highbd_clip_pixel_add
  0.36  20725.81    87.46 39742435     0.00     0.00  diffwtd_mask
  0.35  20809.75    83.94 8901474799     0.00     0.00  get_dqv
  0.35  20893.09    83.35 579635062     0.00     0.00  get_nz_map_ctx
  0.32  20970.26    77.17 250543808     0.00     0.00  clamp64
  0.32  21047.07    76.81 51975150     0.00     0.00  aom_lowbd_blend_a64_d16_mask_c
  0.31  21120.52    73.45 89379287     0.00     0.00  av1_nn_predict_c
  0.30  21193.39    72.88 2084275684     0.00     0.00  av1_fdct8_new
  0.30  21265.68    72.29 94342255700     0.00     0.00  av1_range_check_buf
  0.30  21337.50    71.83 17827007     0.00     0.00  av1_convolve_y_sr_c
  0.30  21408.97    71.47 5795299904     0.00     0.00  clamp
  0.29  21478.63    69.66 261681856     0.00     0.00  av1_idct32_new
  0.28  21546.75    68.12 38551040     0.00     0.00  aom_quantize_b_helper_c
  0.28  21612.99    66.24 1535862180     0.00     0.00  av1_idct8_new
  0.27  21678.86    65.88 16140209     0.00     0.00  av1_convolve_x_sr_c
  0.25  21739.95    61.09 126247191     0.00     0.00  aom_subtract_block_c
  0.25  21799.19    59.24 146243424     0.00     0.00  av1_wedge_sign_from_residuals_c
  0.23  21855.00    55.81 14994708764     0.00     0.00  clip_pixel
  0.23  21909.08    54.08 260871392     0.00     0.00  av1_fdct32_new
  0.22  21962.84    53.76 124041700     0.00     0.00  aom_sum_squares_2d_i16_c
  0.22  22016.10    53.26 83706240     0.00     0.00  av1_idct64_new
  0.22  22068.60    52.50 125271904     0.00     0.00  clip_pixel_highbd
  0.21  22119.58    50.98 27063759788     0.00     0.00  cospi_arr
  0.21  22169.08    49.50 3397838560     0.00     0.00  round_shift
  0.20  22216.13    47.05 4394514568     0.00     0.00  clamp
  0.19  22262.92    46.80 11598474435     0.00     0.00  get_padded_idx
  0.18  22306.25    43.33 38551040     0.00     0.00  av1_cost_coeffs_txb
  0.16  22345.71    39.46 82898752     0.00     0.00  av1_fdct64_new
  0.16  22385.02    39.31 58872788     0.00     0.00  obmc_sad
  0.16  22422.64    37.62        1    37.62    37.62  av1_rtcd
  0.15  22459.85    37.21 2316031594     0.00     0.00  get_eob_cost
  0.15  22496.72    36.88 1510030400     0.00     0.00  round_shift
  0.15  22533.54    36.82 19084252     0.00     0.00  obmc_variance
  0.15  22568.73    35.19 104594906     0.00     0.00  search_txk_type
  0.14  22602.98    34.25 23786590     0.00     0.00  av1_dist_wtd_convolve_2d_copy_c
  0.14  22636.15    33.17 37259404     0.00     0.00  get_energy_distribution_finer
  0.14  22668.98    32.83 3113590800     0.00     0.00  round_shift
  0.14  22701.67    32.69 8831416178     0.00     0.00  get_coeff_dist
  0.12  22730.34    28.67 125271904     0.00     0.00  clamp
  0.11  22757.42    27.08 37259404     0.00     0.00  av1_get_horver_correlation_full_c
  0.11  22784.20    26.78 459561040     0.00     0.00  av1_get_txb_entropy_context
  0.11  22810.51    26.32 1190387248     0.00     0.00  round_shift
  0.10  22834.64    24.13 29019770     0.00     0.00  aom_blend_a64_mask_c
  0.09  22857.39    22.75 37259404     0.00     0.00  sort_probability
  0.09  22879.68    22.30 366189637     0.00     0.00  av1_gen_inv_stage_range
  0.09  22901.39    21.71 497133640     0.00     0.00  av1_gen_fwd_stage_range
  0.09  22922.89    21.49 28129077     0.00     0.00  aom_var_filter_block2d_bil_first_pass_c
  0.09  22943.75    20.86 25456947     0.00     0.00  av1_compute_cross_correlation_c
  0.09  22964.37    20.62 934199560     0.00     0.00  av1_fidentity8_c
  0.08  22984.33    19.96 497133640     0.00     0.00  set_fwd_txfm_non_scale_range
  0.08  23003.82    19.49 28129077     0.00     0.00  aom_var_filter_block2d_bil_second_pass_c
  0.08  23022.99    19.17 2316070746     0.00     0.00  get_eob_pos_token
