Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.34   2404.55  2404.55 2755600564     0.00     0.00  horz_scalar_product
 10.42   4435.27  2030.71 1131380832     0.00     0.00  vert_scalar_product
  6.97   5794.50  1359.24 138537914     0.00     0.00  av1_dist_wtd_convolve_2d_c
  4.29   6629.91   835.41 528581827     0.00     0.00  convolve_horiz
  4.14   7436.27   806.36 98644146     0.00     0.00  av1_convolve_2d_sr_c
  3.77   8171.20   734.92 526369427     0.00     0.00  convolve_vert
  3.68   8887.50   716.30 108077578016     0.00     0.00  half_btf
  3.66   9601.29   713.79 165258495024     0.00     0.00  clamp_value
  3.61  10305.38   704.09 114233466760     0.00     0.00  half_btf
  3.51  10990.33   684.95 287249100     0.00     0.00  av1_optimize_txb_new
  3.39  11651.21   660.88 1083737389     0.00     0.00  variance
  2.39  12117.47   466.27 14536846104     0.00     0.00  av1_round_shift_array_c
  2.04  12514.08   396.61 3886981396     0.00     0.00  clip_pixel
  1.85  12875.18   361.10 286865392     0.00     0.00  inv_txfm2d_add_c
  1.70  13207.19   332.01 942709661     0.00     0.00  sad
  1.30  13459.89   252.70 3700253632     0.00     0.00  clamp_value
  1.29  13712.07   252.19 4271888032     0.00     0.00  round_shift
  1.28  13961.49   249.42 339452494     0.00     0.00  fwd_txfm2d_c
  1.27  14208.27   246.78 302923037     0.00     0.00  quantize_fp_helper_c
  1.20  14441.19   232.92 182529906     0.00     0.00  av1_wedge_sse_from_residuals_c
  1.17  14668.90   227.72 2049737776     0.00     0.00  clamp64
  1.10  14883.94   215.04 293228646     0.00     0.00  aom_comp_avg_upsampled_pred_c
  0.90  15059.28   175.34 281481529     0.00     0.00  aom_comp_mask_pred_c
  0.83  15221.69   162.41 286865392     0.00     0.00  av1_inv_txfm_add_c
  0.74  15366.29   144.60 189848076     0.00     0.00  aom_comp_avg_pred_c
  0.74  15509.67   143.38 308584401     0.00     0.00  av1_txb_init_levels_c
  0.64  15633.50   123.83 25477420     0.00     0.00  av1_dist_wtd_convolve_x_c
  0.63  15755.42   121.92 157291000     0.00     0.00  masked_sad
  0.52  15857.63   102.22 658630436     0.00     0.00  av1_iadst16_new
  0.51  15957.21    99.58 5371852324     0.00     0.00  clamp_buf
  0.50  16054.22    97.01 19763303     0.00     0.00  av1_dist_wtd_convolve_y_c
  0.47  16145.71    91.49 823437548     0.00     0.00  av1_idct16_new
  0.45  16233.77    88.06 200377351     0.00     0.00  aom_sse_c
  0.43  16316.65    82.88 676735968     0.00     0.00  av1_fadst16_new
  0.39  16393.21    76.56   632110     0.00     0.00  av1_warp_affine_c
  0.39  16468.80    75.59 861407076     0.00     0.00  av1_fdct16_new
  0.37  16540.84    72.04 31003950     0.00     0.00  diffwtd_mask
  0.36  16610.84    70.00 2881848832     0.00     0.00  clamp
  0.36  16680.80    69.96 32647850     0.00     0.00  aom_quantize_b_helper_c
  0.36  16750.32    69.52 2295827712     0.00     0.00  clamp64
  0.35  16818.79    68.47 3836221462     0.00     0.00  get_nz_map_ctx
  0.35  16887.11    68.33 46493608     0.00     0.00  aom_lowbd_blend_a64_d16_mask_c
  0.35  16955.43    68.32 1497917392     0.00     0.00  clamp
  0.34  17022.47    67.04 1418895468     0.00     0.00  av1_fadst8_new
  0.34  17089.14    66.67 1850126816     0.00     0.00  highbd_clip_pixel_add
  0.33  17153.32    64.18 15652100     0.00     0.00  av1_convolve_x_sr_c
  0.32  17216.51    63.19 1202265076     0.00     0.00  av1_iadst8_new
  0.31  17276.59    60.08 216377712     0.00     0.00  av1_idct32_new
  0.30  17334.46    57.87 143363888     0.00     0.00  av1_wedge_sign_from_residuals_c
  0.28  17388.31    53.86 3700253632     0.00     0.00  clamp64
  0.27  17441.89    53.58 66649364     0.00     0.00  av1_nn_predict_c
  0.27  17494.64    52.75 7235802346     0.00     0.00  get_dqv
  0.27  17546.79    52.15 1279049148     0.00     0.00  av1_idct8_new
  0.26  17598.41    51.62 106517445     0.00     0.00  aom_subtract_block_c
  0.26  17649.45    51.04 80421104     0.00     0.00  av1_idct64_new
  0.25  17699.11    49.66 1468576648     0.00     0.00  av1_fdct8_new
  0.25  17747.58    48.47 12537273     0.00     0.00  av1_convolve_y_sr_c
  0.25  17796.01    48.43 65108027047     0.00     0.00  av1_range_check_buf
  0.23  17840.79    44.78 11611098360     0.00     0.00  clip_pixel
  0.22  17883.16    42.37 204749976     0.00     0.00  av1_fdct32_new
  0.22  17925.15    41.99 32647850     0.00     0.00  av1_cost_coeffs_txb
  0.22  17967.12    41.97 100850898     0.00     0.00  aom_sum_squares_2d_i16_c
  0.20  18005.72    38.61 1850126816     0.00     0.00  clip_pixel_highbd
  0.19  18042.97    37.25 77839664     0.00     0.00  av1_fdct64_new
  0.19  18079.66    36.69        1    36.69    36.69  av1_rtcd
  0.17  18113.46    33.80 656842112     0.00     0.00  clamp
  0.17  18146.49    33.03 50459500     0.00     0.00  obmc_sad
  0.17  18178.83    32.34 18124158936     0.00     0.00  cospi_arr
  0.15  18208.88    30.06 12419645277     0.00     0.00  get_padded_idx
  0.15  18238.14    29.26 16363543     0.00     0.00  obmc_variance
  0.15  18266.57    28.43 8341221358     0.00     0.00  get_coeff_dist
  0.14  18293.40    26.83 87458891     0.00     0.00  search_txk_type
  0.13  18318.82    25.43 14324069     0.00     0.00  av1_dist_wtd_convolve_2d_copy_c
  0.13  18344.20    25.38 696460864     0.00     0.00  round_shift
  0.12  18368.32    24.13 27478430     0.00     0.00  get_energy_distribution_finer
  0.12  18391.83    23.51 1463053065     0.00     0.00  get_eob_cost
  0.12  18414.60    22.77 1850126816     0.00     0.00  clamp
  0.11  18435.32    20.72 24692053     0.00     0.00  aom_blend_a64_mask_c
  0.10  18455.57    20.25 4301172604     0.00     0.00  round_shift
  0.10  18475.36    19.79 286865392     0.00     0.00  av1_gen_inv_stage_range
  0.10  18494.89    19.53 26426003     0.00     0.00  aom_var_filter_block2d_bil_first_pass_c
  0.10  18513.95    19.07 78895616     0.00     0.00  round_shift
  0.09  18531.65    17.70 27478430     0.00     0.00  av1_get_horver_correlation_full_c
  0.09  18549.04    17.40 27478430     0.00     0.00  sort_probability
  0.09  18566.37    17.33 26426003     0.00     0.00  aom_var_filter_block2d_bil_second_pass_c
  0.09  18582.95    16.58 5486032726     0.00     0.00  clamp
  0.08  18598.77    15.82 3096702584     0.00     0.00  round_shift
  0.08  18614.43    15.67 339452494     0.00     0.00  av1_gen_fwd_stage_range
  0.08  18629.83    15.40  3946398     0.00     0.00  diffwtd_mask_d16
  0.07  18643.91    14.08 320388749     0.00     0.00  av1_get_txb_entropy_context
  0.07  18657.83    13.92 733970174     0.00     0.00  aom_upsampled_pred_c
  0.07  18671.72    13.90 339452494     0.00     0.00  set_fwd_txfm_non_scale_range
  0.07  18685.48    13.76 42229869     0.00     0.00  av1_get_crc32c_value_c
  0.07  18698.97    13.49 16298730     0.00     0.00  av1_compute_cross_correlation_c
  0.07  18711.88    12.91  5708052     0.00     0.00  cdef_filter_block_c
  0.06  18724.07    12.19 335570887     0.00     0.00  av1_xform_quant
  0.06  18735.80    11.73 1450165837     0.00     0.00  get_coeff_cost_general
  0.06  18747.08    11.28 29273896     0.00     0.00  find_tx_size_rd_info
  0.06  18758.15    11.07 35467215     0.00     0.00  av1_find_best_sub_pixel_tree
  0.06  18769.19    11.04 1463111445     0.00     0.00  get_eob_pos_token
  0.06  18780.20    11.02 382907257     0.00     0.00  model_rd_with_curvfit
  0.05  18790.36    10.16 20581254     0.00     0.00  av1_diamond_search_sad_c
  0.05  18800.50    10.14 173062882     0.00     0.00  build_inter_predictors
  0.05  18810.43     9.93 23882671     0.00     0.00  av1_block_error_c
  0.05  18820.02     9.59  8960243     0.00     0.00  av1_wedge_compute_delta_squares_c
  0.05  18829.51     9.49 1142692936     0.00     0.00  clamp64
  0.05  18838.64     9.13 7548877180     0.00     0.00  range_check_value
  0.05  18847.77     9.13 416919492     0.00     0.00  av1_fidentity8_c
  0.05  18856.56     8.80 377662212     0.00     0.00  av1_fadst4_new
  0.04  18865.13     8.57 2086142240     0.00     0.00  clip_pixel
  0.04  18873.21     8.08 17920486     0.00     0.00  aom_sum_squares_i16_c
  0.04  18881.22     8.01 4506956972     0.00     0.00  cospi_arr
  0.04  18888.83     7.61 38688056     0.00     0.00  aom_get_blk_sse_sum_c
  0.04  18896.39     7.56 278167730     0.00     0.00  dist_block_px_domain
  0.04  18903.87     7.48 146731776     0.00     0.00  av1_fidentity16_c
  0.04  18911.01     7.15 316310296     0.00     0.00  av1_iadst4_new
  0.04  18918.03     7.02 2191891968     0.00     0.00  constrain
  0.03  18924.83     6.80 26426003     0.00     0.00  av1_refining_search_8p_c
  0.03  18931.50     6.67                             intra_mode_to_tx_type
  0.03  18937.87     6.38      174     0.04     0.04  aom_nonmax_suppression
  0.03  18944.20     6.33 323670432     0.00     0.00  av1_iidentity8_c
  0.03  18950.28     6.08 382898384     0.00     0.00  av1_model_rd_curvfit
  0.03  18956.32     6.04 117822172     0.00     0.00  av1_iidentity16_c
  0.03  18962.32     6.00 286865392     0.00     0.00  av1_highbd_inv_txfm_add_c
  0.03  18968.30     5.99 742763957     0.00     0.00  upsampled_pref_error
  0.03  18974.26     5.96 4425758198     0.00     0.00  range_check_value
  0.03  18980.20     5.94 286865392     0.00     0.00  get_txh_idx
  0.03  18986.11     5.92 1483934715     0.00     0.00  get_coeff_cost_eob
  0.03  18992.03     5.92 286865392     0.00     0.00  av1_get_inv_txfm_cfg
  0.03  18997.87     5.85 27538059     0.00     0.00  av1_nn_softmax
  0.03  19003.65     5.78 1426029392     0.00     0.00  get_lower_levels_ctx_eob
  0.03  19009.34     5.70 31468097     0.00     0.00  av1_get_nz_map_contexts_c
  0.03  19014.92     5.58 313956528     0.00     0.00  av1_fdct4_new
  0.03  19020.46     5.54 765796768     0.00     0.00  interp_cubic
  0.03  19025.95     5.49 1361164104     0.00     0.00  mv_cost
  0.03  19031.38     5.43 246775948     0.00     0.00  av1_idct4_new
  0.03  19036.76     5.38 3583476878     0.00     0.00  get_msb
  0.03  19042.13     5.38 339452494     0.00     0.00  av1_get_fwd_txfm_cfg
  0.03  19047.15     5.02 27478430     0.00     0.00  prune_tx_2D
  0.03  19052.05     4.90 297714448     0.00     0.00  av1_get_tx_type
  0.02  19056.75     4.70 192980259     0.00     0.00  model_rd_for_sb_with_curvfit
  0.02  19061.44     4.69 339452494     0.00     0.00  av1_highbd_fwd_txfm
  0.02  19066.08     4.64 678904988     0.00     0.00  fwd_txfm_type_to_func
  0.02  19070.48     4.41 286812514     0.00     0.00  av1_convolve_2d_copy_sr_c
  0.02  19074.79     4.31 302923037     0.00     0.00  av1_optimize_b
  0.02  19079.10     4.31 192592500     0.00     0.00  get_lower_levels_ctx_general
  0.02  19083.19     4.09 51465304     0.00     0.00  av1_fidentity32_c
  0.02  19087.18     3.99  2678851     0.00     0.00  smooth_predictor
  0.02  19091.10     3.92  4366109     0.00     0.00  av1_filter_intra_predictor_c
  0.02  19094.99     3.89 573730784     0.00     0.00  inv_txfm_type_to_func
  0.02  19098.82     3.84 318658817     0.00     0.00  get_tx_type_cost
  0.02  19102.65     3.83 286865392     0.00     0.00  av1_get_ext_tx_set_type
  0.02  19106.39     3.74 192592500     0.00     0.00  update_coeff_general
  0.02  19110.12     3.73                             intra_mode_to_tx_type
  0.02  19113.73     3.61 89362951     0.00     0.00  get_txb_ctx
  0.02  19117.33     3.61 579042651     0.00     0.00  get_txb_dimensions
  0.02  19120.92     3.59 333581009     0.00     0.00  av1_convolve_2d_facade
  0.02  19124.46     3.54 307797415     0.00     0.00  clamp_mv_to_umv_border_sb
  0.02  19127.84     3.38   469443     0.00     0.04  av1_rd_pick_inter_mode_sb
  0.02  19131.21     3.37 1789912704     0.00     0.00  sign
  0.02  19134.48     3.27 622825676     0.00     0.00  av1_get_ext_tx_set_type
  0.02  19137.61     3.13 646702658     0.00     0.00  av1_get_tx_scale
  0.02  19140.73     3.12 403675756     0.00     0.00  av1_get_ext_tx_set_type
  0.02  19143.78     3.05 480521258     0.00     0.00  is_comp_rd_match
  0.02  19146.82     3.04 286865392     0.00     0.00  av1_inverse_transform_block
  0.01  19149.74     2.92  8960243     0.00     0.00  pick_wedge
  0.01  19152.65     2.91 18510845     0.00     0.00  handle_inter_mode
  0.01  19155.51     2.86 37140136     0.00     0.00  av1_iidentity32_c
  0.01  19158.37     2.86 60089964     0.00     0.00  interpolation_filter_rd
  0.01  19161.20     2.83 336390610     0.00     0.00  av1_get_ext_tx_set_type
  0.01  19164.03     2.83 278167730     0.00     0.00  pixel_dist_visible_only
  0.01  19166.85     2.82 810493668     0.00     0.00  mv_err_cost
  0.01  19169.64     2.80 1030672012     0.00     0.00  is_cur_buf_hbd
  0.01  19172.42     2.78 1054951254     0.00     0.00  av1_get_interp_filter_subpel_kernel
