YUV,Bitrate,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,Time
BQMall_832x480_60_2taps_22qp_200fframes_RA_.txt,4923.2640,39.5799,43.3158,44.2954,40.5199,1489.425
BQMall_832x480_60_2taps_27qp_200fframes_RA_.txt,2318.6232,36.9217,41.4420,41.8876,37.9569,1210.659
BQMall_832x480_60_2taps_32qp_200fframes_RA_.txt,1168.1664,34.0985,39.8228,39.9451,35.2759,1043.579
BQMall_832x480_60_2taps_37qp_200fframes_RA_.txt,617.1744,31.3375,38.6072,38.6113,32.6751,940.474
BQSquare_416x240_60_2taps_22qp_200fframes_RA_.txt,1839.4224,38.4240,43.6147,44.2991,39.4323,374.036
BQSquare_416x240_60_2taps_27qp_200fframes_RA_.txt,801.8760,34.9006,41.2446,42.0147,36.1342,275.782
BQSquare_416x240_60_2taps_32qp_200fframes_RA_.txt,408.5376,31.9684,39.6120,40.3600,33.3570,230.143
BQSquare_416x240_60_2taps_37qp_200fframes_RA_.txt,224.1624,29.1221,38.4761,39.1420,30.6329,208.673
BQTerrace_1920x1080_60_2taps_22qp_200fframes_RA_.txt,37159.2552,37.8984,42.4750,44.7252,38.7637,8327.373
BQTerrace_1920x1080_60_2taps_27qp_200fframes_RA_.txt,8401.7256,35.7510,41.1468,43.4611,36.9803,5384.284
BQTerrace_1920x1080_60_2taps_32qp_200fframes_RA_.txt,2956.6416,34.1948,39.8579,42.2725,35.4742,4592.435
BQTerrace_1920x1080_60_2taps_37qp_200fframes_RA_.txt,1328.0904,32.3453,38.9034,41.3496,33.6820,4303.707
BasketballDrill_832x480_50_2taps_22qp_200fframes_RA_.txt,3604.1060,40.5099,43.1267,43.6590,41.2239,1517.971
BasketballDrill_832x480_50_2taps_27qp_200fframes_RA_.txt,1740.8620,37.4034,40.7563,40.9074,38.2309,1245.239
BasketballDrill_832x480_50_2taps_32qp_200fframes_RA_.txt,854.1160,34.4770,38.6893,38.5913,35.4333,1074.435
BasketballDrill_832x480_50_2taps_37qp_200fframes_RA_.txt,453.4120,31.9708,37.2297,36.9535,33.0747,949.799
BasketballDrive_1920x1080_50_2taps_22qp_200fframes_RA_.txt,18418.8060,39.1419,43.8736,44.8953,40.1829,8325.010
BasketballDrive_1920x1080_50_2taps_27qp_200fframes_RA_.txt,6417.8340,37.4337,42.6088,42.9045,38.5188,6602.257
BasketballDrive_1920x1080_50_2taps_32qp_200fframes_RA_.txt,2990.5240,35.5716,41.3218,41.0131,36.6696,5743.867
BasketballDrive_1920x1080_50_2taps_37qp_200fframes_RA_.txt,1578.1920,33.5923,40.3464,39.7090,34.7746,5249.287
BasketballPass_416x240_50_2taps_22qp_200fframes_RA_.txt,1273.8780,40.9042,44.2383,43.6105,41.5182,369.177
BasketballPass_416x240_50_2taps_27qp_200fframes_RA_.txt,633.5420,37.2254,41.6499,40.6723,37.9963,306.999
BasketballPass_416x240_50_2taps_32qp_200fframes_RA_.txt,311.4760,33.9366,39.5416,38.4269,34.8877,262.791
BasketballPass_416x240_50_2taps_37qp_200fframes_RA_.txt,161.0820,31.1615,38.1408,36.8814,32.2922,235.109
BlowingBubbles_416x240_50_2taps_22qp_200fframes_RA_.txt,1660.9140,38.3968,41.4517,42.6312,39.1954,407.270
BlowingBubbles_416x240_50_2taps_27qp_200fframes_RA_.txt,765.4540,35.1313,38.9531,39.9738,36.0730,315.262
BlowingBubbles_416x240_50_2taps_32qp_200fframes_RA_.txt,366.8380,32.0712,37.0175,37.9467,33.1776,260.310
BlowingBubbles_416x240_50_2taps_37qp_200fframes_RA_.txt,176.8900,29.2632,35.7260,36.4776,30.5403,230.763
Cactus_1920x1080_50_2taps_22qp_200fframes_RA_.txt,19803.8980,38.4836,40.0441,43.6307,39.1935,7412.400
Cactus_1920x1080_50_2taps_27qp_200fframes_RA_.txt,6261.0860,36.8554,39.0795,41.9368,37.7068,5487.488
Cactus_1920x1080_50_2taps_32qp_200fframes_RA_.txt,2934.2480,34.9638,38.2542,40.3881,35.9557,4791.779
Cactus_1920x1080_50_2taps_37qp_200fframes_RA_.txt,1507.1140,32.7957,37.5702,39.1961,33.9680,4436.103
FourPeople_1280x720_60_2taps_22qp_200fframes_RA_.txt,2928.3456,42.6216,46.6440,47.9673,43.6692,2113.371
FourPeople_1280x720_60_2taps_27qp_200fframes_RA_.txt,1345.2048,40.6796,44.8042,46.1007,41.7512,1848.699
FourPeople_1280x720_60_2taps_32qp_200fframes_RA_.txt,740.6616,38.2804,43.0569,44.3529,39.4411,1750.347
FourPeople_1280x720_60_2taps_37qp_200fframes_RA_.txt,428.4312,35.5164,41.7869,42.9422,36.8356,1678.649
Johnny_1280x720_60_2taps_22qp_200fframes_RA_.txt,1991.1648,42.9503,48.0979,48.7219,44.1069,2032.882
Johnny_1280x720_60_2taps_27qp_200fframes_RA_.txt,757.3512,41.4821,46.5938,47.2099,42.6480,1781.878
Johnny_1280x720_60_2taps_32qp_200fframes_RA_.txt,387.0288,39.6317,45.0077,45.5778,40.8298,1703.642
Johnny_1280x720_60_2taps_37qp_200fframes_RA_.txt,216.8760,37.3480,43.6735,44.1205,38.6438,1647.625
Kimono1_1920x1080_24_2taps_22qp_200fframes_RA_.txt,5119.4573,41.6373,43.3892,45.2130,42.2951,7458.318
Kimono1_1920x1080_24_2taps_27qp_200fframes_RA_.txt,2368.4659,39.7354,41.9977,43.3721,40.4438,6203.879
Kimono1_1920x1080_24_2taps_32qp_200fframes_RA_.txt,1156.7462,37.3767,40.7816,42.0396,38.2708,5487.796
Kimono1_1920x1080_24_2taps_37qp_200fframes_RA_.txt,586.3824,34.9581,39.9415,41.2382,36.0862,5059.288
ParkScene_1920x1080_24_2taps_22qp_200fframes_RA_.txt,7648.3526,40.0047,42.3282,43.7627,40.7474,6966.475
ParkScene_1920x1080_24_2taps_27qp_200fframes_RA_.txt,3280.1914,37.4680,40.4436,41.5127,38.3216,5552.230
