YUV,Bitrate,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,Time
BQMall_832x480_60_8taps_22qp_200fframes_RA_.txt,4885.5576,39.5983,43.3108,44.3000,40.5362,1488.357
BQMall_832x480_60_8taps_27qp_200fframes_RA_.txt,2308.3992,36.9546,41.4516,41.8794,37.9865,1205.620
BQMall_832x480_60_8taps_32qp_200fframes_RA_.txt,1167.7968,34.1336,39.8353,39.9558,35.3097,1042.705
BQMall_832x480_60_8taps_37qp_200fframes_RA_.txt,616.4736,31.3622,38.5930,38.5984,32.6973,937.424
BQSquare_416x240_60_8taps_22qp_200fframes_RA_.txt,1816.5336,38.4457,43.6223,44.2888,39.4534,373.575
BQSquare_416x240_60_8taps_27qp_200fframes_RA_.txt,791.3232,34.9397,41.2454,42.0136,36.1722,277.326
BQSquare_416x240_60_8taps_32qp_200fframes_RA_.txt,404.3640,32.0223,39.5938,40.3523,33.4077,231.516
BQSquare_416x240_60_8taps_37qp_200fframes_RA_.txt,222.0216,29.1644,38.4832,39.1456,30.6728,208.994
BQTerrace_1920x1080_60_8taps_22qp_200fframes_RA_.txt,37069.1568,37.9068,42.4806,44.7291,38.7725,8297.180
BQTerrace_1920x1080_60_8taps_27qp_200fframes_RA_.txt,8381.4888,35.7635,41.1451,43.4579,36.9915,5375.958
BQTerrace_1920x1080_60_8taps_32qp_200fframes_RA_.txt,2950.8192,34.2056,39.8616,42.2741,35.4843,4589.999
BQTerrace_1920x1080_60_8taps_37qp_200fframes_RA_.txt,1327.3944,32.3630,38.9076,41.3534,33.6988,4291.472
BasketballDrill_832x480_50_8taps_22qp_200fframes_RA_.txt,3583.9940,40.5375,43.1195,43.6580,41.2462,1490.711
BasketballDrill_832x480_50_8taps_27qp_200fframes_RA_.txt,1736.3900,37.4358,40.7538,40.9083,38.2584,1250.540
BasketballDrill_832x480_50_8taps_32qp_200fframes_RA_.txt,854.1800,34.5077,38.7037,38.5982,35.4618,1072.704
BasketballDrill_832x480_50_8taps_37qp_200fframes_RA_.txt,452.6040,31.9865,37.2342,36.9593,33.0887,948.269
BasketballDrive_1920x1080_50_8taps_22qp_200fframes_RA_.txt,18368.0160,39.1507,43.8759,44.8946,40.1915,8306.703
BasketballDrive_1920x1080_50_8taps_27qp_200fframes_RA_.txt,6397.0340,37.4471,42.6051,42.9061,38.5314,6579.455
BasketballDrive_1920x1080_50_8taps_32qp_200fframes_RA_.txt,2985.1740,35.5904,41.3261,41.0106,36.6872,5736.743
BasketballDrive_1920x1080_50_8taps_37qp_200fframes_RA_.txt,1577.5080,33.6102,40.3515,39.7164,34.7917,5212.871
BasketballPass_416x240_50_8taps_22qp_200fframes_RA_.txt,1262.2700,40.9245,44.2546,43.6305,41.5413,367.884
BasketballPass_416x240_50_8taps_27qp_200fframes_RA_.txt,630.6180,37.2622,41.6441,40.6855,38.0322,311.817
BasketballPass_416x240_50_8taps_32qp_200fframes_RA_.txt,310.4160,33.9629,39.5426,38.4487,34.9139,262.702
BasketballPass_416x240_50_8taps_37qp_200fframes_RA_.txt,160.8400,31.1890,38.1344,36.9048,32.3192,235.548
BlowingBubbles_416x240_50_8taps_22qp_200fframes_RA_.txt,1641.1780,38.4211,41.4623,42.6410,39.2188,391.410
BlowingBubbles_416x240_50_8taps_27qp_200fframes_RA_.txt,757.7860,35.1750,38.9697,39.9808,36.1138,316.866
BlowingBubbles_416x240_50_8taps_32qp_200fframes_RA_.txt,364.1160,32.1074,37.0376,37.9577,33.2123,261.370
BlowingBubbles_416x240_50_8taps_37qp_200fframes_RA_.txt,175.8840,29.2817,35.7189,36.4837,30.5570,229.954
Cactus_1920x1080_50_8taps_22qp_200fframes_RA_.txt,19752.4980,38.4894,40.0394,43.6339,39.1976,7390.577
Cactus_1920x1080_50_8taps_27qp_200fframes_RA_.txt,6234.4160,36.8637,39.0806,41.9361,37.7139,5477.140
Cactus_1920x1080_50_8taps_32qp_200fframes_RA_.txt,2924.1060,34.9726,38.2538,40.3874,35.9630,4774.284
Cactus_1920x1080_50_8taps_37qp_200fframes_RA_.txt,1504.2760,32.8064,37.5711,39.1961,33.9777,4426.116
FourPeople_1280x720_60_8taps_22qp_200fframes_RA_.txt,2921.9712,42.6299,46.6472,47.9682,43.6767,2110.523
FourPeople_1280x720_60_8taps_27qp_200fframes_RA_.txt,1344.4296,40.6918,44.8130,46.1094,41.7631,1849.095
FourPeople_1280x720_60_8taps_32qp_200fframes_RA_.txt,741.4464,38.2952,43.0627,44.3552,39.4548,1745.322
FourPeople_1280x720_60_8taps_37qp_200fframes_RA_.txt,429.8928,35.5297,41.7876,42.9499,36.8481,1683.920
Johnny_1280x720_60_8taps_22qp_200fframes_RA_.txt,1980.4992,42.9590,48.1043,48.7215,44.1151,2033.168
Johnny_1280x720_60_8taps_27qp_200fframes_RA_.txt,755.4840,41.4986,46.5994,47.2160,42.6632,1803.072
Johnny_1280x720_60_8taps_32qp_200fframes_RA_.txt,385.8792,39.6432,45.0168,45.5892,40.8412,1693.844
Johnny_1280x720_60_8taps_37qp_200fframes_RA_.txt,216.5472,37.3537,43.6670,44.1244,38.6488,1655.107
Kimono1_1920x1080_24_8taps_22qp_200fframes_RA_.txt,5115.4291,41.6441,43.3903,45.2100,42.3005,7412.730
Kimono1_1920x1080_24_8taps_27qp_200fframes_RA_.txt,2365.3910,39.7404,41.9984,43.3742,40.4481,6170.155
Kimono1_1920x1080_24_8taps_32qp_200fframes_RA_.txt,1156.3574,37.3855,40.7835,42.0442,38.2787,5446.034
Kimono1_1920x1080_24_8taps_37qp_200fframes_RA_.txt,585.8189,34.9614,39.9352,41.2461,36.0891,4990.050
ParkScene_1920x1080_24_8taps_22qp_200fframes_RA_.txt,7617.2323,40.0205,42.3292,43.7592,40.7602,7012.922
ParkScene_1920x1080_24_8taps_27qp_200fframes_RA_.txt,3269.5008,37.4827,40.4439,41.5127,38.3339,5545.275
ParkScene_1920x1080_24_8taps_32qp_200fframes_RA_.txt,1492.5782,34.8779,38.8487,39.9878,35.9071,4875.006
ParkScene_1920x1080_24_8taps_37qp_200fframes_RA_.txt,689.6477,32.3695,37.6674,39.0988,33.5938,4491.981
PartyScene_832x480_50_8taps_22qp_200fframes_RA_.txt,8664.0680,38.1197,41.0889,41.8447,38.8285,1819.766
PartyScene_832x480_50_8taps_27qp_200fframes_RA_.txt,4093.1760,34.4042,38.5655,39.1068,35.3363,1421.169
PartyScene_832x480_50_8taps_32qp_200fframes_RA_.txt,1982.5160,31.1197,36.6593,37.0591,32.2549,1163.702
PartyScene_832x480_50_8taps_37qp_200fframes_RA_.txt,966.6000,28.1451,35.3613,35.6949,29.4759,1005.472
PeopleOnStreet_2560x1600_30_8taps_22qp_200fframes_RA_.txt,32959.0368,40.1784,44.8698,44.6553,41.0524,13924.375
PeopleOnStreet_2560x1600_30_8taps_27qp_200fframes_RA_.txt,15758.2400,37.1595,42.9374,43.2714,38.2666,11278.261
PeopleOnStreet_2560x1600_30_8taps_32qp_200fframes_RA_.txt,8265.3328,34.1983,41.2926,41.9358,35.4603,9742.100
PeopleOnStreet_2560x1600_30_8taps_37qp_200fframes_RA_.txt,4628.6544,31.4362,40.0800,40.8877,32.8190,8711.743
RaceHorses_416x240_30_8taps_22qp_200fframes_RA_.txt,1249.2732,39.1471,41.4793,42.5074,39.7084,502.576
RaceHorses_416x240_30_8taps_27qp_200fframes_RA_.txt,609.3636,35.4010,38.8258,40.0111,36.2206,407.363
RaceHorses_416x240_30_8taps_32qp_200fframes_RA_.txt,292.7796,31.9809,36.9083,38.0274,33.0444,332.723
RaceHorses_416x240_30_8taps_37qp_200fframes_RA_.txt,140.4996,29.1716,35.6705,36.6335,30.4256,283.383
