YUV,OPT,QP,128x128,128x64,64x128,64x64,64x48,64x32,64x24,64x16,64x12,64x8,64x4,64x2,48x64,48x32,48x16,48x8,48x4,32x64,32x48,32x32,32x24,32x16,32x12,32x8,32x4,32x2,24x64,24x32,24x16,24x8,24x4,16x64,16x48,16x32,16x24,16x16,16x12,16x8,16x4,16x2,12x64,12x32,12x16,12x8,12x4,8x64,8x48,8x32,8x24,8x16,8x12,8x8,8x4,8x2,4x64,4x48,4x32,4x24,4x16,4x12,4x8,4x4,4x2,2x64,2x32,2x16,2x8,2x4,zeros,resto,chroma
ArenaOfValor,INTER.csv,22,454,9,7,2734,8,2194,29,2488,37,2909,2163,0,4,15,16,39,44,788,7,6879,48,6711,96,7733,6028,88,1,23,82,126,140,705,12,4344,59,10524,149,13299,12646,236,3,35,119,283,280,589,8,4295,92,10439,262,18074,18901,1580,297,8,2434,51,8434,248,15861,13169,0,0,8,64,1162,0,9500,860,26219
ArenaOfValor,INTER.csv,27,937,165,126,3205,11,2524,24,2643,41,2626,1520,8,6,19,23,22,17,935,15,4173,44,3782,30,3830,2490,56,5,15,42,64,39,923,7,2770,44,5346,79,5862,4757,116,4,28,58,152,114,694,6,2206,33,4749,132,7447,7371,602,314,4,1083,13,3316,115,6752,5346,0,0,0,52,672,0,4856,436,11795
ArenaOfValor,INTER.csv,32,1416,346,202,2905,8,2203,18,2131,25,1830,805,8,5,12,16,13,14,853,11,2466,29,2233,27,2113,1053,24,6,22,30,47,23,765,9,1660,28,3031,49,3071,1992,44,1,19,48,93,60,507,6,1206,26,2437,89,3347,2230,178,228,0,452,6,1539,61,2264,1395,0,0,8,56,236,0,1995,212,6091
ArenaOfValor,INTER.csv,37,1984,370,221,2034,11,1782,4,1636,6,1268,302,4,16,15,13,8,2,595,12,1570,17,1457,11,1144,485,20,1,9,20,32,10,540,2,1029,14,1712,29,1503,708,8,1,7,27,48,11,230,2,680,14,1176,38,1166,426,38,89,0,190,2,538,8,406,138,0,0,4,32,44,0,685,48,2756
ArenaOfValor,INTRA.csv,22,10,8,4,144,2,76,3,107,1,88,77,4,1,0,3,1,2,50,1,516,6,815,13,1078,896,76,0,3,9,20,11,51,1,347,6,2241,20,4483,5129,696,0,11,30,78,89,14,1,297,7,2591,53,8837,17262,4902,2,0,190,6,2352,47,13079,22627,0,0,20,180,2406,0,7502,2152,31196
ArenaOfValor,INTRA.csv,27,18,12,7,186,0,151,2,172,8,161,118,16,0,0,1,4,0,59,0,591,8,945,8,1112,809,72,0,3,13,15,10,39,0,516,17,2355,23,4014,3768,584,1,9,24,40,37,34,0,461,23,2546,30,7104,11191,2962,20,1,285,6,2098,27,8741,14466,0,0,16,140,1808,0,4574,1528,20614
ArenaOfValor,INTRA.csv,32,34,8,9,214,2,256,1,252,8,240,156,8,2,0,2,6,2,92,0,709,10,1061,10,1082,738,144,0,6,9,6,9,78,0,650,12,2074,19,3236,2516,504,0,10,15,21,15,48,1,503,13,2424,29,5065,6265,1884,31,1,286,5,1529,25,5149,8012,0,0,40,160,1218,0,2552,1040,13320
ArenaOfValor,INTRA.csv,37,48,23,7,336,2,326,4,304,5,254,112,12,3,2,5,5,0,158,2,738,9,924,8,884,575,156,1,1,2,7,5,115,4,653,8,1757,9,2492,1672,412,2,6,11,14,10,79,2,498,15,1828,19,3221,3389,992,56,1,272,4,1153,4,3099,4530,0,4,44,196,670,0,1474,644,8475
BQMall,INTER.csv,22,106,10,1,734,0,184,0,89,0,34,4,0,0,0,0,0,0,205,0,1433,7,609,5,506,147,0,0,22,18,21,6,210,0,1635,11,2471,41,1936,1331,4,0,37,86,122,92,164,0,2058,56,4373,199,4331,2420,126,69,0,1498,90,4831,257,4274,2138,0,0,0,60,248,0,1108,144,2528
BQMall,INTER.csv,27,166,41,11,699,0,221,0,48,0,26,2,0,0,0,0,0,0,146,0,1455,5,436,2,289,89,0,0,16,11,3,5,187,0,1383,5,1643,20,1135,613,8,0,25,46,60,26,166,0,1814,35,2845,88,2200,957,48,50,0,1176,57,2601,118,1708,799,0,0,16,40,88,0,541,80,1160
BQMall,INTER.csv,32,233,13,2,616,0,254,0,70,0,28,6,0,0,0,0,0,0,200,0,1253,0,440,1,231,74,0,0,7,10,9,1,265,0,1109,7,1068,5,578,281,12,0,13,24,26,9,238,0,1384,22,1460,39,833,242,18,85,0,800,29,1063,24,516,230,0,0,12,32,40,0,237,12,554
BQMall,INTER.csv,37,266,13,11,630,0,338,0,70,0,28,4,0,0,0,0,0,0,242,0,977,0,301,2,159,36,0,0,10,8,5,3,344,0,861,2,565,0,223,79,4,0,13,10,5,1,253,0,838,14,630,11,235,62,0,69,0,375,6,308,2,68,15,0,0,8,0,4,0,108,16,236
BQMall,INTRA.csv,22,0,0,1,11,0,9,0,10,0,5,1,0,0,0,0,0,0,16,0,77,0,91,0,66,63,20,0,2,0,3,1,32,0,181,3,405,6,636,772,104,0,3,9,14,17,47,0,318,2,1156,25,2103,2923,832,61,0,430,11,1765,36,3790,4465,0,0,48,280,1256,0,1597,660,6067
BQMall,INTRA.csv,27,1,0,4,39,0,12,0,1,0,0,0,0,0,0,0,0,0,25,0,137,1,94,1,69,81,12,0,2,3,2,1,31,0,225,2,437,7,574,641,112,0,5,10,16,13,45,0,291,8,1002,34,1729,1923,686,52,0,335,8,1369,40,2696,3379,0,0,56,328,1092,0,1161,744,4101
BQMall,INTRA.csv,32,7,1,2,69,0,20,0,11,0,0,0,0,0,0,0,0,0,27,0,155,2,85,1,80,81,20,0,0,3,0,1,47,0,225,1,415,6,528,537,112,0,3,8,9,11,24,0,312,7,866,16,1290,1421,548,14,0,307,8,1080,21,1836,2252,0,0,52,332,764,0,733,588,2558
BQMall,INTRA.csv,37,12,4,1,73,0,28,0,5,0,5,0,0,0,0,0,0,0,26,0,143,2,110,0,115,89,28,0,2,2,1,0,35,0,250,1,376,4,501,401,112,0,3,13,4,3,20,0,319,3,788,11,971,900,274,5,0,299,7,825,10,1139,1381,0,8,64,248,438,0,459,484,1495
BQSquare,INTER.csv,22,13,2,0,144,0,133,0,111,0,15,0,0,0,0,0,0,0,76,0,336,2,334,4,214,95,0,0,0,4,11,10,31,0,285,12,699,21,961,726,0,0,8,29,68,48,8,0,297,20,1053,78,1257,777,0,0,0,117,5,866,60,799,325,0,0,0,0,10,0,37,8,40
