YUV,QP,128x128,128x64,64x128,64x64,64x48,64x32,64x24,64x16,64x12,64x8,64x4,64x2,48x64,48x32,48x16,48x8,48x4,32x64,32x48,32x32,32x24,32x16,32x12,32x8,32x4,32x2,24x64,24x32,24x16,24x8,24x4,16x64,16x48,16x32,16x24,16x16,16x12,16x8,16x4,16x2,12x64,12x32,12x16,12x8,12x4,8x64,8x48,8x32,8x24,8x16,8x12,8x8,8x4,8x2,4x64,4x48,4x32,4x24,4x16,4x12,4x8,4x4,4x2,2x64,2x32,2x16,2x8,2x4,zeros,resto,chroma
ArenaOfValor_INTER.csv,22,454,9,7,2765,8,2251,29,2598,37,3037,2463,0,4,15,16,39,44,814,7,7074,48,7103,96,8424,7079,88,1,23,82,126,140,724,12,4575,59,11550,149,15468,16241,236,3,35,119,283,280,599,8,4522,92,12076,262,25224,20869,1580,337,8,2748,51,10847,248,17597,13872,0,0,8,64,1162,0,9500,860,0
ArenaOfValor_INTER.csv,27,937,165,126,3229,11,2572,24,2710,41,2721,1706,8,6,19,23,22,17,958,15,4326,44,4062,30,4181,2900,56,5,15,42,64,39,941,7,2989,44,6019,79,7106,6182,116,4,28,58,152,114,707,6,2377,33,5851,132,10444,7741,602,340,4,1194,13,4534,115,7086,5583,0,0,0,52,672,0,4856,436,0
ArenaOfValor_INTER.csv,32,1416,346,202,2925,8,2235,18,2183,25,1884,902,8,5,12,16,13,14,883,11,2606,29,2458,27,2324,1229,24,6,22,30,47,23,780,9,1871,28,3561,49,3894,2514,44,1,19,48,93,60,517,6,1331,26,3198,89,4533,2337,178,242,0,510,6,2057,61,2360,1473,0,0,8,56,236,0,1995,212,0
ArenaOfValor_INTER.csv,37,1984,370,221,2065,11,1824,4,1672,6,1297,332,4,16,15,13,8,2,631,12,1725,17,1652,11,1286,565,20,1,9,20,32,10,564,2,1209,14,2107,29,1861,842,8,1,7,27,48,11,232,2,775,14,1531,38,1384,449,38,90,0,224,2,671,8,433,139,0,0,4,32,44,0,685,48,0
ArenaOfValor_INTRA.csv,22,10,8,4,162,2,114,3,179,1,183,139,4,1,0,3,1,2,53,1,675,6,1274,13,1624,1442,76,0,3,9,20,11,55,1,520,6,3214,20,6514,7441,696,0,11,30,78,89,18,1,441,7,4024,53,13783,17871,4902,5,0,339,6,3950,47,13676,22816,0,0,20,180,2406,0,7502,2152,14033
ArenaOfValor_INTRA.csv,27,18,12,7,222,0,224,2,282,8,274,210,16,0,0,1,4,0,70,0,753,8,1303,8,1476,1113,72,0,3,13,15,10,51,0,740,17,3162,23,5356,4960,584,1,9,24,40,37,37,0,609,23,3603,30,9887,11337,2962,34,1,392,6,3088,27,8894,14554,0,0,16,140,1808,0,4574,1528,9925
ArenaOfValor_INTRA.csv,32,34,8,9,260,2,342,1,340,8,325,244,8,2,0,2,6,2,115,0,868,10,1374,10,1319,915,144,0,6,9,6,9,87,0,884,12,2664,19,4013,3157,504,0,10,15,21,15,60,1,644,13,3096,29,6462,6318,1884,46,1,372,5,1968,25,5199,8042,0,0,40,160,1218,0,2552,1040,6872
ArenaOfValor_INTRA.csv,37,48,23,7,380,2,403,4,376,5,308,165,12,3,2,5,5,0,192,2,898,9,1169,8,1042,660,156,1,1,2,7,5,140,4,877,8,2068,9,2895,1922,412,2,6,11,14,10,90,2,606,15,2190,19,3746,3403,992,74,1,305,4,1345,4,3110,4536,0,4,44,196,670,0,1474,644,5000
BQMall_INTER.csv,22,106,10,1,749,0,185,0,89,0,34,4,0,0,0,0,0,0,205,0,1440,7,613,5,510,154,0,0,22,18,21,6,210,0,1674,11,2534,41,2074,1515,4,0,37,86,122,92,164,0,2123,56,4747,199,4969,2470,126,69,0,1628,90,5467,257,4404,2181,0,0,0,60,248,0,1108,144,0
BQMall_INTER.csv,27,166,41,11,699,0,221,0,48,0,26,2,0,0,0,0,0,0,146,0,1458,5,443,2,298,96,0,0,16,11,3,5,187,0,1421,5,1692,20,1204,685,8,0,25,46,60,26,166,0,1873,35,3065,88,2443,963,48,52,0,1262,57,2863,118,1727,808,0,0,16,40,88,0,541,80,0
BQMall_INTER.csv,32,233,13,2,616,0,254,0,70,0,28,6,0,0,0,0,0,0,200,0,1260,0,441,1,240,83,0,0,7,10,9,1,265,0,1144,7,1112,5,619,316,12,0,13,24,26,9,240,0,1451,22,1556,39,898,245,18,92,0,846,29,1146,24,519,231,0,0,12,32,40,0,237,12,0
BQMall_INTER.csv,37,266,13,11,630,0,338,0,71,0,29,4,0,0,0,0,0,0,244,0,991,0,311,2,166,39,0,0,10,8,5,3,351,0,890,2,590,0,238,81,4,0,13,10,5,1,259,0,874,14,657,11,251,62,0,76,0,389,6,321,2,69,15,0,0,8,0,4,0,108,16,0
BQMall_INTRA.csv,22,0,0,1,11,0,11,0,12,0,6,2,0,0,0,0,0,0,20,0,84,0,98,0,75,74,20,0,2,0,3,1,33,0,220,3,486,6,845,1052,104,0,3,9,14,17,48,0,370,2,1567,25,3059,2990,832,71,0,509,11,2364,36,3906,4489,0,0,48,280,1256,0,1597,660,3098
BQMall_INTRA.csv,27,1,0,4,41,0,13,0,1,0,0,0,0,0,0,0,0,0,26,0,142,1,101,1,79,86,12,0,2,3,2,1,31,0,255,2,527,7,704,808,112,0,5,10,16,13,46,0,335,8,1302,34,2266,1935,686,54,0,413,8,1720,40,2722,3389,0,0,56,328,1092,0,1161,744,2292
BQMall_INTRA.csv,32,7,1,2,69,0,20,0,11,0,0,1,0,0,0,0,0,0,27,0,160,2,93,1,89,90,20,0,0,3,0,1,47,0,259,1,483,6,649,636,112,0,3,8,9,11,24,0,365,7,1066,16,1574
