YUV,OPT,QP,128x128,128x64,64x128,64x64,64x48,64x32,64x24,64x16,64x12,64x8,64x4,64x2,48x64,48x32,48x16,48x8,48x4,32x64,32x48,32x32,32x24,32x16,32x12,32x8,32x4,32x2,24x64,24x32,24x16,24x8,24x4,16x64,16x48,16x32,16x24,16x16,16x12,16x8,16x4,16x2,12x64,12x32,12x16,12x8,12x4,8x64,8x48,8x32,8x24,8x16,8x12,8x8,8x4,8x2,4x64,4x48,4x32,4x24,4x16,4x12,4x8,4x4,4x2,2x64,2x32,2x16,2x8,2x4,zeros,resto,chroma
ArenaOfValor,INTER.csv,22,454,9,7,2726,0,2186,0,2475,0,2881,2049,0,0,0,0,0,0,782,0,6854,0,6592,0,7547,5737,65,0,0,0,0,0,704,0,4272,0,10248,0,12913,11973,144,0,0,0,0,0,585,0,4243,0,10209,0,17453,17168,1158,277,0,2343,0,8140,0,14431,9805,0,0,2,39,900,0,9500,547,39731
ArenaOfValor,INTER.csv,27,937,165,126,3189,0,2510,0,2628,0,2612,1449,4,0,0,0,0,0,928,0,4117,0,3690,0,3730,2343,30,0,0,0,0,0,920,0,2708,0,5196,0,5627,4425,53,0,0,0,0,0,691,0,2164,0,4599,0,7087,6335,372,310,0,1026,0,3155,0,5817,3415,0,0,0,25,423,0,4856,199,19830
ArenaOfValor,INTER.csv,32,1416,346,202,2875,0,2188,0,2120,0,1822,780,4,0,0,0,0,0,842,0,2418,0,2162,0,2052,986,8,0,0,0,0,0,762,0,1607,0,2931,0,2929,1840,15,0,0,0,0,0,506,0,1187,0,2309,0,3090,1777,100,222,0,429,0,1414,0,1763,788,0,0,5,32,114,0,1995,91,10206
ArenaOfValor,INTER.csv,37,1984,370,221,1989,0,1768,0,1631,0,1268,293,1,0,0,0,0,0,582,0,1533,0,1415,0,1117,459,10,0,0,0,0,0,539,0,994,0,1635,0,1413,619,3,0,0,0,0,0,228,0,650,0,1098,0,1014,294,18,87,0,180,0,476,0,293,68,0,0,1,11,14,0,685,15,4432
ArenaOfValor,INTRA.csv,22,10,8,4,139,0,76,0,107,0,86,69,4,0,0,0,0,0,49,0,514,0,800,0,1039,831,61,0,0,0,0,0,50,0,340,0,2194,0,4271,4755,548,0,0,0,0,0,14,0,289,0,2450,0,8311,15815,4136,1,0,176,0,2175,0,11992,19852,0,0,13,130,2102,0,7502,1645,40372
ArenaOfValor,INTRA.csv,27,18,12,7,178,0,150,0,170,0,159,106,11,0,0,0,0,0,58,0,588,0,921,0,1049,712,42,0,0,0,0,0,38,0,506,0,2218,0,3682,3269,361,0,0,0,0,0,34,0,452,0,2321,0,6298,9588,2186,17,0,265,0,1812,0,7482,11919,0,0,10,99,1362,0,4574,1007,30922
ArenaOfValor,INTRA.csv,32,34,8,9,207,0,254,0,247,0,235,136,3,0,0,0,0,0,90,0,698,0,1007,0,956,602,76,0,0,0,0,0,78,0,614,0,1836,0,2738,1921,294,0,0,0,0,0,48,0,449,0,2058,0,4037,4865,1205,30,0,258,0,1203,0,4093,6136,0,0,26,102,823,0,2552,616,23282
ArenaOfValor,INTRA.csv,37,48,23,7,324,0,317,0,299,0,244,101,6,0,0,0,0,0,157,0,702,0,820,0,681,401,75,0,0,0,0,0,115,0,595,0,1377,0,1816,1115,188,0,0,0,0,0,76,0,418,0,1376,0,2283,2340,546,53,0,201,0,787,0,2145,2983,0,1,18,83,360,0,1474,281,17916
BQMall,INTER.csv,22,106,10,1,681,0,184,0,89,0,34,4,0,0,0,0,0,0,205,0,1433,0,604,0,500,142,0,0,0,0,0,0,210,0,1625,0,2435,0,1887,1248,2,0,0,0,0,0,164,0,2024,0,4261,0,4108,2036,90,69,0,1441,0,4506,0,3463,1459,0,0,0,39,177,0,1108,96,6648
BQMall,INTER.csv,27,166,41,11,648,0,221,0,48,0,26,2,0,0,0,0,0,0,146,0,1455,0,434,0,288,88,0,0,0,0,0,0,187,0,1374,0,1630,0,1115,581,8,0,0,0,0,0,166,0,1797,0,2780,0,2102,800,25,50,0,1131,0,2415,0,1371,518,0,0,6,19,58,0,541,41,3120
