============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Apr 26 2019  06:19:07 pm
  Module:                 sbox_sr
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

Instance     Module     Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------
sbox_sr                   191        524       377          901 
  ff2    flipflop5_1        6         47         0           47 
  ff1    flipflop5          6         47         0           47 
  ff3    flipflop3          4         31         0           31 
  g486   porte_xor_3        1          5         0            5 
  g484   porte_xor_1        1          5         0            5 
  g482   porte_xor_2        1          5         0            5 
  g481   porte_xor          1          5         0            5 
  g478   porte_xor_4        1          5         0            5 
  g479   porte_xnor         1          4         0            4 
  g473   porte_or_14        1          3         0            3 
  g466   porte_or_15        1          3         0            3 
  g453   porte_or_11        1          3         0            3 
  g449   porte_or_13        1          3         0            3 
  g442   porte_or_12        1          3         0            3 
  g416   porte_or_10        1          3         0            3 
  g401   porte_or_9         1          3         0            3 
  g379   porte_or_8         1          3         0            3 
  g377   porte_or_7         1          3         0            3 
  g368   porte_or_6         1          3         0            3 
  g364   porte_or_5         1          3         0            3 
  g360   porte_or_3         1          3         0            3 
  g359   porte_or_4         1          3         0            3 
  g352   porte_or_2         1          3         0            3 
  g342   porte_or_1         1          3         0            3 
  g337   porte_or           1          3         0            3 
  g469   porte_and_19       1          3         0            3 
  g445   porte_and_18       1          3         0            3 
  g440   porte_and_15       1          3         0            3 
  g430   porte_and_14       1          3         0            3 
  g429   porte_and_17       1          3         0            3 
  g426   porte_and_16       1          3         0            3 
  g424   porte_and_13       1          3         0            3 
  g421   porte_and_9        1          3         0            3 
  g419   porte_and_11       1          3         0            3 
  g414   porte_and_12       1          3         0            3 
  g411   porte_and_10       1          3         0            3 
  g408   porte_and_8        1          3         0            3 
  g407   porte_and_7        1          3         0            3 
  g405   porte_and_6        1          3         0            3 
  g381   porte_and_5        1          3         0            3 
  g373   porte_and_4        1          3         0            3 
  g350   porte_and_3        1          3         0            3 
  g343   porte_and_1        1          3         0            3 
  g340   porte_and_2        1          3         0            3 
  g331   porte_and          1          3         0            3 
  g476   porte_nand_45      1          2         0            2 
  g475   porte_nor_60       1          2         0            2 
